image;age;gender;dominant_race;dominant_emotion
Accountant1.png;29.0;Man;white;neutral
Accountant2.png;31.0;Woman;latino hispanic;happy
Accountant3.png;31.0;Man;white;angry
Accountant4.png;38.0;Man;white;neutral
Accountant5.png;36.0;Man;middle eastern;happy
Accountant6.png;31.0;Man;white;neutral
Accountant7.png;37.0;Man;middle eastern;neutral
Accountant8.png;;;;
Accountant9.png;31.0;Man;white;fear
Accountant10.png;30.0;Man;asian;sad
Accountant11.png;28.0;Man;white;neutral
Accountant12.png;32.0;Man;middle eastern;angry
Accountant13.png;;;;
Accountant14.png;33.0;Man;middle eastern;neutral
Accountant15.png;29.0;Man;white;angry
Accountant16.png;23.0;Man;white;angry
Accountant17.png;33.0;Man;white;neutral
Accountant18.png;32.0;Woman;white;disgust
Accountant19.png;32.0;Man;white;neutral
Accountant20.png;30.0;Man;latino hispanic;neutral
Accountant21.png;31.0;Man;white;happy
Accountant22.png;33.0;Man;white;neutral
Accountant23.png;34.0;Man;white;happy
Accountant24.png;31.0;Man;middle eastern;angry
Accountant25.png;34.0;Man;white;neutral
Accountant26.png;30.0;Woman;white;disgust
Accountant27.png;30.0;Woman;latino hispanic;neutral
Accountant28.png;37.0;Man;white;angry
Accountant29.png;33.0;Man;white;sad
Accountant30.png;31.0;Man;indian;neutral
Accountant31.png;35.0;Man;asian;fear
Accountant32.png;31.0;Woman;middle eastern;neutral
Accountant33.png;29.0;Man;middle eastern;neutral
Accountant34.png;;;;
Accountant35.png;27.0;Woman;asian;neutral
Accountant36.png;;;;
Accountant37.png;;;;
Accountant38.png;47.0;Man;white;angry
Accountant39.png;34.0;Man;white;fear
Accountant40.png;39.0;Woman;latino hispanic;neutral
Accountant41.png;25.0;Man;white;sad
Accountant42.png;;;;
Accountant43.png;;;;
Accountant44.png;33.0;Man;white;neutral
Accountant45.png;33.0;Woman;white;happy
Accountant46.png;40.0;Man;middle eastern;neutral
Accountant47.png;31.0;Man;white;neutral
Accountant48.png;47.0;Man;middle eastern;sad
Accountant49.png;36.0;Man;white;happy
Accountant50.png;;;;
Accountant51.png;27.0;Man;white;neutral
Accountant52.png;36.0;Man;white;angry
Accountant53.png;37.0;Man;middle eastern;neutral
Accountant54.png;32.0;Man;white;neutral
Accountant55.png;27.0;Man;white;fear
Accountant56.png;44.0;Man;white;angry
Accountant57.png;;;;
Accountant58.png;30.0;Man;white;happy
Accountant59.png;;;;
Accountant60.png;35.0;Man;white;happy
Accountant61.png;28.0;Man;white;angry
Accountant62.png;33.0;Man;white;neutral
Accountant63.png;32.0;Woman;asian;neutral
Accountant64.png;30.0;Woman;white;surprise
Accountant65.png;30.0;Man;white;neutral
Accountant66.png;;;;
Accountant67.png;31.0;Man;white;neutral
Accountant68.png;37.0;Man;middle eastern;fear
Accountant69.png;31.0;Man;white;neutral
Accountant70.png;31.0;Man;asian;happy
Accountant71.png;37.0;Man;asian;neutral
Accountant72.png;29.0;Woman;white;neutral
Accountant73.png;35.0;Man;white;neutral
Accountant74.png;37.0;Man;asian;neutral
Accountant75.png;34.0;Man;middle eastern;angry
Accountant76.png;;;;
Accountant77.png;27.0;Man;white;angry
Accountant78.png;;;;
Accountant79.png;36.0;Man;white;happy
Accountant80.png;27.0;Man;middle eastern;neutral
Accountant81.png;37.0;Man;white;neutral
Accountant82.png;33.0;Man;white;neutral
Accountant83.png;33.0;Man;middle eastern;angry
Accountant84.png;31.0;Man;white;happy
Accountant85.png;28.0;Man;white;happy
Accountant86.png;25.0;Man;middle eastern;sad
Accountant87.png;;;;
Accountant88.png;30.0;Man;white;neutral
Accountant89.png;31.0;Man;white;happy
Accountant90.png;38.0;Man;white;neutral
Accountant91.png;33.0;Man;middle eastern;neutral
Accountant92.png;38.0;Man;white;neutral
Accountant93.png;;;;
Accountant94.png;35.0;Man;white;neutral
Accountant95.png;48.0;Man;white;neutral
Accountant96.png;34.0;Man;white;sad
Accountant97.png;33.0;Man;white;neutral
Accountant98.png;31.0;Man;white;angry
Accountant99.png;;;;
Accountant100.png;24.0;Man;middle eastern;happy
