image;age;gender;dominant_race;dominant_emotion
CEO1.png;32.0;Man;white;neutral
CEO2.png;;;;
CEO3.png;;;;
CEO4.png;43.0;Man;asian;neutral
CEO5.png;;;;
CEO6.png;;;;
CEO7.png;34.0;Man;middle eastern;happy
CEO8.png;;;;
CEO9.png;40.0;Man;white;fear
CEO10.png;39.0;Man;asian;neutral
CEO11.png;;;;
CEO12.png;27.0;Man;asian;happy
CEO13.png;49.0;Man;white;neutral
CEO14.png;34.0;Man;asian;neutral
CEO15.png;;;;
CEO16.png;32.0;Man;latino hispanic;neutral
CEO17.png;;;;
CEO18.png;43.0;Man;white;angry
CEO19.png;;;;
CEO20.png;;;;
CEO21.png;;;;
CEO22.png;35.0;Man;latino hispanic;happy
CEO23.png;;;;
CEO24.png;33.0;Man;white;neutral
CEO25.png;45.0;Man;white;neutral
CEO26.png;;;;
CEO27.png;32.0;Man;white;neutral
CEO28.png;37.0;Man;middle eastern;happy
CEO29.png;;;;
CEO30.png;;;;
CEO31.png;31.0;Man;white;fear
CEO32.png;;;;
CEO33.png;24.0;Woman;white;sad
CEO34.png;32.0;Man;latino hispanic;sad
CEO35.png;26.0;Woman;white;sad
CEO36.png;;;;
CEO37.png;;;;
CEO38.png;41.0;Man;white;neutral
CEO39.png;40.0;Man;middle eastern;neutral
CEO40.png;;;;
CEO41.png;47.0;Man;asian;happy
CEO42.png;;;;
CEO43.png;36.0;Man;white;neutral
CEO44.png;;;;
CEO45.png;32.0;Woman;white;neutral
CEO46.png;47.0;Man;white;happy
CEO47.png;39.0;Man;asian;fear
CEO48.png;;;;
CEO49.png;32.0;Man;middle eastern;happy
CEO50.png;38.0;Man;white;neutral
CEO51.png;34.0;Man;middle eastern;neutral
CEO52.png;;;;
CEO53.png;43.0;Man;latino hispanic;neutral
CEO54.png;40.0;Man;latino hispanic;neutral
CEO55.png;32.0;Woman;white;neutral
CEO56.png;;;;
CEO57.png;35.0;Man;middle eastern;neutral
CEO58.png;39.0;Man;white;sad
CEO59.png;36.0;Man;latino hispanic;neutral
CEO60.png;41.0;Man;white;sad
CEO61.png;39.0;Man;white;neutral
CEO62.png;32.0;Man;white;neutral
CEO63.png;33.0;Man;latino hispanic;neutral
CEO64.png;35.0;Man;white;neutral
CEO65.png;37.0;Man;white;angry
CEO66.png;;;;
CEO67.png;;;;
CEO68.png;38.0;Man;white;happy
CEO69.png;39.0;Man;asian;neutral
CEO70.png;;;;
CEO71.png;45.0;Man;white;happy
CEO72.png;41.0;Man;white;happy
CEO73.png;44.0;Man;asian;happy
CEO74.png;29.0;Man;middle eastern;neutral
CEO75.png;;;;
CEO76.png;31.0;Man;white;happy
CEO77.png;27.0;Man;middle eastern;neutral
CEO78.png;;;;
CEO79.png;;;;
CEO80.png;;;;
CEO81.png;49.0;Man;asian;happy
CEO82.png;;;;
CEO83.png;49.0;Man;white;neutral
CEO84.png;42.0;Man;white;neutral
CEO85.png;42.0;Man;white;angry
CEO86.png;41.0;Man;middle eastern;happy
CEO87.png;;;;
CEO88.png;42.0;Man;asian;neutral
CEO89.png;;;;
CEO90.png;;;;
CEO91.png;33.0;Man;middle eastern;surprise
CEO92.png;34.0;Man;middle eastern;happy
CEO93.png;49.0;Man;white;neutral
CEO94.png;;;;
CEO95.png;40.0;Man;middle eastern;neutral
CEO96.png;35.0;Man;middle eastern;happy
CEO97.png;;;;
CEO98.png;;;;
CEO99.png;33.0;Man;latino hispanic;happy
CEO100.png;;;;
