image	glasses	tie	book	laptop	phone	chair	table	bag	watch	uniform	pen	desk	gloves	apron	monitor	clipboard
Cashier1.png	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0
Cashier2.png	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Cashier3.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cashier4.png	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
Cashier5.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cashier6.png	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cashier7.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cashier8.png	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Cashier9.png	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
Cashier10.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cashier11.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cashier12.png	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Cashier13.png	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Cashier14.png	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Cashier15.png	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Cashier16.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cashier17.png	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
Cashier18.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cashier19.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cashier20.png	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cashier21.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cashier22.png	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cashier23.png	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Cashier24.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cashier25.png	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
Cashier26.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cashier27.png	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
Cashier28.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cashier29.png	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Cashier30.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cashier31.png	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Cashier32.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cashier33.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Cashier34.png	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cashier35.png	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Cashier36.png	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0
Cashier37.png	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0
Cashier38.png	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Cashier39.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Cashier40.png	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
Cashier41.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cashier42.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cashier43.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cashier44.png	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cashier45.png	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cashier46.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cashier47.png	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cashier48.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cashier49.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
