image	glasses	tie	book	laptop	phone	chair	table	bag	watch	uniform	pen	desk	gloves	apron	monitor	clipboard
Cook1.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook2.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook3.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook4.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook5.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook6.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook7.png	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cook8.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook9.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook10.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook11.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook12.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook13.png	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Cook14.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook15.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook16.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook17.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook18.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook19.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook20.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook21.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook22.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook23.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook24.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook25.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook26.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook27.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook28.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook29.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook30.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook31.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook32.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cook33.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Cook34.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook35.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cook36.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook37.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook38.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook39.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook40.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cook41.png	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
