image;age;gender;dominant_race;dominant_emotion
Cook1.png;26.0;Man;latino hispanic;neutral
Cook2.png;35.0;Man;indian;neutral
Cook3.png;;;;
Cook4.png;50.0;Man;indian;sad
Cook5.png;24.0;Man;black;sad
Cook6.png;28.0;Man;middle eastern;fear
Cook7.png;;;;
Cook8.png;39.0;Man;latino hispanic;happy
Cook9.png;27.0;Man;middle eastern;neutral
Cook10.png;34.0;Man;middle eastern;angry
Cook11.png;45.0;Man;middle eastern;neutral
Cook12.png;37.0;Man;white;neutral
Cook13.png;;;;
Cook14.png;38.0;Man;indian;neutral
Cook15.png;38.0;Man;middle eastern;sad
Cook16.png;46.0;Man;middle eastern;angry
Cook17.png;37.0;Man;white;sad
Cook18.png;42.0;Man;middle eastern;neutral
Cook19.png;37.0;Man;middle eastern;fear
Cook20.png;41.0;Man;middle eastern;angry
Cook21.png;39.0;Man;middle eastern;neutral
Cook22.png;46.0;Man;latino hispanic;sad
Cook23.png;34.0;Man;middle eastern;sad
Cook24.png;47.0;Man;latino hispanic;neutral
Cook25.png;32.0;Man;middle eastern;neutral
Cook26.png;29.0;Man;white;neutral
Cook27.png;33.0;Man;middle eastern;fear
Cook28.png;33.0;Man;middle eastern;neutral
Cook29.png;31.0;Man;middle eastern;neutral
Cook30.png;34.0;Man;asian;neutral
Cook31.png;45.0;Man;indian;angry
Cook32.png;30.0;Man;latino hispanic;neutral
Cook33.png;39.0;Man;middle eastern;happy
Cook34.png;;;;
Cook35.png;39.0;Man;asian;angry
Cook36.png;32.0;Man;middle eastern;neutral
Cook37.png;35.0;Man;latino hispanic;neutral
Cook38.png;34.0;Man;indian;fear
Cook39.png;37.0;Man;asian;neutral
Cook40.png;44.0;Man;indian;neutral
Cook41.png;40.0;Man;indian;neutral
Cook42.png;38.0;Man;latino hispanic;neutral
Cook43.png;41.0;Man;middle eastern;sad
Cook44.png;36.0;Man;middle eastern;sad
Cook45.png;33.0;Man;middle eastern;neutral
Cook46.png;37.0;Man;latino hispanic;angry
Cook47.png;23.0;Man;black;angry
Cook48.png;46.0;Man;indian;sad
Cook49.png;42.0;Man;white;angry
Cook50.png;33.0;Man;white;happy
Cook51.png;46.0;Man;asian;neutral
Cook52.png;34.0;Man;asian;neutral
Cook53.png;34.0;Man;latino hispanic;neutral
Cook54.png;31.0;Man;latino hispanic;neutral
Cook55.png;27.0;Man;latino hispanic;neutral
Cook56.png;;;;
Cook57.png;;;;
Cook58.png;54.0;Man;asian;angry
Cook59.png;31.0;Man;middle eastern;sad
Cook60.png;25.0;Man;latino hispanic;neutral
Cook61.png;38.0;Man;asian;neutral
Cook62.png;36.0;Man;black;neutral
Cook63.png;43.0;Man;middle eastern;sad
Cook64.png;38.0;Man;indian;happy
Cook65.png;31.0;Man;asian;neutral
Cook66.png;34.0;Man;middle eastern;neutral
Cook67.png;31.0;Man;middle eastern;neutral
Cook68.png;44.0;Man;latino hispanic;happy
Cook69.png;33.0;Man;middle eastern;neutral
Cook70.png;24.0;Man;middle eastern;neutral
Cook71.png;44.0;Man;asian;neutral
Cook72.png;39.0;Man;middle eastern;neutral
Cook73.png;25.0;Man;asian;sad
Cook74.png;40.0;Man;middle eastern;neutral
Cook75.png;29.0;Man;asian;neutral
Cook76.png;32.0;Man;middle eastern;sad
Cook77.png;34.0;Man;middle eastern;neutral
Cook78.png;41.0;Man;white;angry
Cook79.png;41.0;Man;latino hispanic;neutral
Cook80.png;44.0;Man;black;neutral
Cook81.png;24.0;Man;latino hispanic;neutral
Cook82.png;45.0;Man;white;neutral
Cook83.png;39.0;Man;middle eastern;neutral
Cook84.png;32.0;Man;middle eastern;neutral
Cook85.png;33.0;Man;middle eastern;neutral
Cook86.png;41.0;Man;white;fear
Cook87.png;33.0;Man;latino hispanic;neutral
Cook88.png;28.0;Man;asian;neutral
Cook89.png;32.0;Man;middle eastern;neutral
Cook90.png;50.0;Man;middle eastern;happy
Cook91.png;25.0;Man;black;angry
Cook92.png;34.0;Man;latino hispanic;neutral
Cook93.png;32.0;Man;middle eastern;fear
Cook94.png;39.0;Man;middle eastern;neutral
Cook95.png;31.0;Man;indian;neutral
Cook96.png;28.0;Man;latino hispanic;neutral
Cook97.png;36.0;Man;middle eastern;neutral
Cook98.png;47.0;Man;asian;neutral
Cook99.png;42.0;Man;asian;sad
Cook100.png;;;;
