image	glasses	tie	book	laptop	phone	chair	table	bag	watch	uniform	pen	desk	gloves	apron	monitor	clipboard
Courier1.png	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Courier2.png	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Courier3.png	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Courier4.png	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Courier5.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Courier6.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Courier7.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier8.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier9.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier10.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier11.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier12.png	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier13.png	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Courier14.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier15.png	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier16.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier17.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier18.png	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Courier19.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier20.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier21.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier22.png	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Courier23.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier24.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier25.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier26.png	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Courier27.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier28.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier29.png	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier30.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier31.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Courier32.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier33.png	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier34.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier35.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier36.png	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier37.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier38.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier39.png	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier40.png	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier41.png	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Courier42.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier43.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier44.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier45.png	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier46.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier47.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier48.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier49.png	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Courier50.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier51.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier52.png	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier53.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Courier54.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier55.png	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
Courier56.png	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Courier57.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier58.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier59.png	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Courier60.png	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Courier61.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier62.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier63.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier64.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier65.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier66.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier67.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier68.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Courier69.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier70.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Courier71.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier72.png	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Courier73.png	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier74.png	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0
Courier75.png	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier76.png	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Courier77.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Courier78.png	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Courier79.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier80.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier81.png	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier82.png	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Courier83.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier84.png	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Courier85.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier86.png	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Courier87.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Courier88.png	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Courier89.png	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Courier90.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
