image;age;gender;dominant_race;dominant_emotion
Courier1.png;32.0;Man;white;happy
Courier2.png;31.0;Man;middle eastern;fear
Courier3.png;33.0;Man;middle eastern;neutral
Courier4.png;30.0;Man;asian;neutral
Courier5.png;27.0;Man;white;neutral
Courier6.png;34.0;Man;white;neutral
Courier7.png;29.0;Man;middle eastern;happy
Courier8.png;26.0;Man;latino hispanic;neutral
Courier9.png;34.0;Man;white;happy
Courier10.png;33.0;Man;black;happy
Courier11.png;;;;
Courier12.png;37.0;Man;middle eastern;happy
Courier13.png;35.0;Man;indian;happy
Courier14.png;29.0;Man;asian;happy
Courier15.png;30.0;Man;middle eastern;neutral
Courier16.png;38.0;Man;white;neutral
Courier17.png;31.0;Man;black;neutral
Courier18.png;32.0;Man;black;happy
Courier19.png;26.0;Man;latino hispanic;neutral
Courier20.png;42.0;Man;middle eastern;neutral
Courier21.png;40.0;Man;white;neutral
Courier22.png;30.0;Man;black;happy
Courier23.png;35.0;Man;latino hispanic;happy
Courier24.png;45.0;Man;latino hispanic;neutral
Courier25.png;33.0;Man;black;neutral
Courier26.png;34.0;Man;latino hispanic;neutral
Courier27.png;31.0;Man;white;neutral
Courier28.png;32.0;Man;white;neutral
Courier29.png;35.0;Man;asian;neutral
Courier30.png;28.0;Man;latino hispanic;happy
Courier31.png;27.0;Man;black;happy
Courier32.png;34.0;Man;latino hispanic;happy
Courier33.png;31.0;Man;black;happy
Courier34.png;35.0;Man;asian;neutral
Courier35.png;37.0;Man;black;happy
Courier36.png;;;;
Courier37.png;33.0;Man;black;happy
Courier38.png;39.0;Man;latino hispanic;neutral
Courier39.png;33.0;Man;indian;happy
Courier40.png;29.0;Man;black;happy
Courier41.png;30.0;Man;middle eastern;happy
Courier42.png;29.0;Man;latino hispanic;happy
Courier43.png;;;;
Courier44.png;47.0;Man;black;neutral
Courier45.png;26.0;Man;latino hispanic;neutral
Courier46.png;38.0;Man;white;neutral
Courier47.png;33.0;Man;latino hispanic;happy
Courier48.png;37.0;Man;indian;neutral
Courier49.png;;;;
Courier50.png;29.0;Man;white;sad
Courier51.png;26.0;Man;latino hispanic;neutral
Courier52.png;39.0;Man;white;happy
Courier53.png;30.0;Man;white;neutral
Courier54.png;35.0;Man;white;happy
Courier55.png;36.0;Man;latino hispanic;happy
Courier56.png;28.0;Man;white;happy
Courier57.png;32.0;Man;asian;neutral
Courier58.png;32.0;Man;middle eastern;happy
Courier59.png;32.0;Man;asian;happy
Courier60.png;38.0;Man;middle eastern;happy
Courier61.png;31.0;Man;asian;happy
Courier62.png;29.0;Man;middle eastern;neutral
Courier63.png;42.0;Man;middle eastern;fear
Courier64.png;34.0;Man;middle eastern;sad
Courier65.png;;;;
Courier66.png;32.0;Man;black;surprise
Courier67.png;35.0;Man;white;neutral
Courier68.png;31.0;Man;black;neutral
Courier69.png;29.0;Man;latino hispanic;neutral
Courier70.png;33.0;Man;latino hispanic;neutral
Courier71.png;27.0;Man;indian;neutral
Courier72.png;25.0;Man;white;happy
Courier73.png;32.0;Man;white;happy
Courier74.png;33.0;Man;latino hispanic;happy
Courier75.png;31.0;Man;middle eastern;neutral
Courier76.png;27.0;Man;black;neutral
Courier77.png;35.0;Man;white;angry
Courier78.png;32.0;Man;black;neutral
Courier79.png;28.0;Man;asian;happy
Courier80.png;45.0;Man;black;sad
Courier81.png;31.0;Man;black;happy
Courier82.png;31.0;Man;black;neutral
Courier83.png;28.0;Man;middle eastern;happy
Courier84.png;33.0;Man;latino hispanic;neutral
Courier85.png;32.0;Man;black;happy
Courier86.png;38.0;Man;latino hispanic;neutral
Courier87.png;29.0;Man;latino hispanic;happy
Courier88.png;26.0;Man;latino hispanic;neutral
Courier89.png;32.0;Man;white;neutral
Courier90.png;37.0;Man;middle eastern;neutral
Courier91.png;;;;
Courier92.png;34.0;Man;black;angry
Courier93.png;35.0;Man;asian;happy
Courier94.png;43.0;Man;latino hispanic;neutral
Courier95.png;34.0;Man;white;angry
Courier96.png;34.0;Man;white;angry
Courier97.png;31.0;Man;asian;happy
Courier98.png;;;;
Courier99.png;29.0;Man;indian;neutral
Courier100.png;28.0;Man;latino hispanic;angry
