image;age;gender;dominant_race;dominant_emotion
FastFoodWorker1.png;31.0;Man;latino hispanic;neutral
FastFoodWorker2.png;29.0;Man;middle eastern;happy
FastFoodWorker3.png;32.0;Man;latino hispanic;neutral
FastFoodWorker4.png;32.0;Woman;indian;happy
FastFoodWorker5.png;25.0;Man;latino hispanic;neutral
FastFoodWorker6.png;27.0;Man;white;happy
FastFoodWorker7.png;31.0;Woman;black;happy
FastFoodWorker8.png;26.0;Man;middle eastern;neutral
FastFoodWorker9.png;30.0;Man;white;happy
FastFoodWorker10.png;33.0;Man;middle eastern;neutral
FastFoodWorker11.png;27.0;Man;indian;happy
FastFoodWorker12.png;28.0;Man;white;neutral
FastFoodWorker13.png;29.0;Woman;white;happy
FastFoodWorker14.png;31.0;Man;middle eastern;happy
FastFoodWorker15.png;30.0;Man;latino hispanic;happy
FastFoodWorker16.png;28.0;Man;white;neutral
FastFoodWorker17.png;25.0;Man;white;neutral
FastFoodWorker18.png;32.0;Man;black;neutral
FastFoodWorker19.png;29.0;Woman;black;happy
FastFoodWorker20.png;25.0;Man;latino hispanic;neutral
FastFoodWorker21.png;25.0;Man;middle eastern;sad
FastFoodWorker22.png;27.0;Man;middle eastern;happy
FastFoodWorker23.png;33.0;Man;white;neutral
FastFoodWorker24.png;25.0;Man;latino hispanic;neutral
FastFoodWorker25.png;30.0;Man;middle eastern;happy
FastFoodWorker26.png;24.0;Man;white;angry
FastFoodWorker27.png;27.0;Man;middle eastern;happy
FastFoodWorker28.png;29.0;Man;middle eastern;neutral
FastFoodWorker29.png;34.0;Man;black;angry
FastFoodWorker30.png;32.0;Woman;middle eastern;happy
FastFoodWorker31.png;33.0;Man;middle eastern;neutral
FastFoodWorker32.png;30.0;Man;middle eastern;happy
FastFoodWorker33.png;28.0;Man;middle eastern;sad
FastFoodWorker34.png;;;;
FastFoodWorker35.png;28.0;Man;middle eastern;neutral
FastFoodWorker36.png;30.0;Woman;latino hispanic;neutral
FastFoodWorker37.png;28.0;Man;white;neutral
FastFoodWorker38.png;26.0;Man;middle eastern;neutral
FastFoodWorker39.png;31.0;Man;latino hispanic;neutral
FastFoodWorker40.png;;;;
FastFoodWorker41.png;29.0;Man;middle eastern;happy
FastFoodWorker42.png;30.0;Woman;latino hispanic;happy
FastFoodWorker43.png;32.0;Woman;white;happy
FastFoodWorker44.png;25.0;Man;latino hispanic;neutral
FastFoodWorker45.png;23.0;Man;middle eastern;happy
FastFoodWorker46.png;35.0;Man;middle eastern;neutral
FastFoodWorker47.png;30.0;Woman;white;happy
FastFoodWorker48.png;27.0;Man;black;neutral
FastFoodWorker49.png;32.0;Man;latino hispanic;neutral
FastFoodWorker50.png;39.0;Man;white;neutral
FastFoodWorker51.png;31.0;Woman;latino hispanic;neutral
FastFoodWorker52.png;29.0;Man;white;neutral
FastFoodWorker53.png;28.0;Man;middle eastern;happy
FastFoodWorker54.png;31.0;Man;white;happy
FastFoodWorker55.png;;;;
FastFoodWorker56.png;32.0;Man;middle eastern;fear
FastFoodWorker57.png;29.0;Man;indian;neutral
FastFoodWorker58.png;31.0;Man;middle eastern;neutral
FastFoodWorker59.png;31.0;Man;middle eastern;happy
FastFoodWorker60.png;26.0;Man;latino hispanic;happy
FastFoodWorker61.png;29.0;Man;middle eastern;happy
FastFoodWorker62.png;31.0;Man;white;neutral
FastFoodWorker63.png;28.0;Man;white;neutral
FastFoodWorker64.png;28.0;Man;middle eastern;sad
FastFoodWorker65.png;30.0;Man;indian;angry
FastFoodWorker66.png;32.0;Man;white;angry
FastFoodWorker67.png;28.0;Man;black;neutral
FastFoodWorker68.png;29.0;Man;white;happy
FastFoodWorker69.png;30.0;Man;white;neutral
FastFoodWorker70.png;34.0;Man;white;happy
FastFoodWorker71.png;28.0;Man;middle eastern;happy
FastFoodWorker72.png;26.0;Man;white;happy
FastFoodWorker73.png;25.0;Man;indian;neutral
FastFoodWorker74.png;31.0;Man;middle eastern;happy
FastFoodWorker75.png;26.0;Man;middle eastern;happy
FastFoodWorker76.png;31.0;Man;middle eastern;neutral
FastFoodWorker77.png;30.0;Man;black;happy
FastFoodWorker78.png;29.0;Man;middle eastern;happy
FastFoodWorker79.png;27.0;Man;middle eastern;happy
FastFoodWorker80.png;33.0;Man;middle eastern;neutral
FastFoodWorker81.png;28.0;Man;white;neutral
FastFoodWorker82.png;31.0;Man;white;neutral
FastFoodWorker83.png;31.0;Man;middle eastern;happy
FastFoodWorker84.png;30.0;Man;white;neutral
FastFoodWorker85.png;33.0;Woman;latino hispanic;neutral
FastFoodWorker86.png;29.0;Man;white;happy
FastFoodWorker87.png;24.0;Man;white;sad
FastFoodWorker88.png;;;;
FastFoodWorker89.png;31.0;Man;white;neutral
FastFoodWorker90.png;30.0;Man;middle eastern;neutral
FastFoodWorker91.png;33.0;Man;middle eastern;happy
FastFoodWorker92.png;27.0;Man;middle eastern;neutral
FastFoodWorker93.png;30.0;Woman;middle eastern;happy
FastFoodWorker94.png;32.0;Woman;white;happy
FastFoodWorker95.png;30.0;Man;middle eastern;happy
FastFoodWorker96.png;;;;
FastFoodWorker97.png;30.0;Man;black;happy
FastFoodWorker98.png;28.0;Man;middle eastern;neutral
FastFoodWorker99.png;27.0;Man;white;happy
FastFoodWorker100.png;33.0;Man;white;neutral
