image;age;gender;dominant_race;dominant_emotion
HousekeepingCleaner1.png;43.0;Woman;white;happy
HousekeepingCleaner2.png;47.0;Woman;asian;happy
HousekeepingCleaner3.png;32.0;Man;white;fear
HousekeepingCleaner4.png;45.0;Man;asian;neutral
HousekeepingCleaner5.png;34.0;Woman;white;happy
HousekeepingCleaner6.png;;;;
HousekeepingCleaner7.png;47.0;Woman;white;happy
HousekeepingCleaner8.png;;;;
HousekeepingCleaner9.png;;;;
HousekeepingCleaner10.png;45.0;Man;white;neutral
HousekeepingCleaner11.png;46.0;Man;latino hispanic;neutral
HousekeepingCleaner12.png;35.0;Woman;white;angry
HousekeepingCleaner13.png;32.0;Man;white;happy
HousekeepingCleaner14.png;27.0;Man;white;neutral
HousekeepingCleaner15.png;40.0;Man;asian;happy
HousekeepingCleaner16.png;29.0;Man;middle eastern;neutral
HousekeepingCleaner17.png;37.0;Man;asian;happy
HousekeepingCleaner18.png;44.0;Man;asian;neutral
HousekeepingCleaner19.png;40.0;Man;asian;happy
HousekeepingCleaner20.png;40.0;Man;white;neutral
HousekeepingCleaner21.png;49.0;Man;asian;happy
HousekeepingCleaner22.png;51.0;Woman;asian;happy
HousekeepingCleaner23.png;40.0;Man;asian;neutral
HousekeepingCleaner24.png;29.0;Woman;white;happy
HousekeepingCleaner25.png;27.0;Woman;white;happy
HousekeepingCleaner26.png;36.0;Man;white;neutral
HousekeepingCleaner27.png;40.0;Man;asian;neutral
HousekeepingCleaner28.png;42.0;Man;asian;happy
HousekeepingCleaner29.png;32.0;Woman;white;happy
HousekeepingCleaner30.png;36.0;Man;white;neutral
HousekeepingCleaner31.png;35.0;Man;white;fear
HousekeepingCleaner32.png;44.0;Man;asian;neutral
HousekeepingCleaner33.png;32.0;Woman;white;neutral
HousekeepingCleaner34.png;50.0;Man;asian;neutral
HousekeepingCleaner35.png;45.0;Man;white;happy
HousekeepingCleaner36.png;33.0;Man;middle eastern;sad
HousekeepingCleaner37.png;43.0;Man;asian;neutral
HousekeepingCleaner38.png;25.0;Man;white;neutral
HousekeepingCleaner39.png;40.0;Man;asian;neutral
HousekeepingCleaner40.png;33.0;Man;middle eastern;happy
HousekeepingCleaner41.png;31.0;Man;asian;neutral
HousekeepingCleaner42.png;36.0;Man;asian;neutral
HousekeepingCleaner43.png;37.0;Man;white;neutral
HousekeepingCleaner44.png;46.0;Woman;asian;neutral
HousekeepingCleaner45.png;36.0;Woman;latino hispanic;neutral
HousekeepingCleaner46.png;40.0;Man;white;happy
HousekeepingCleaner47.png;43.0;Man;asian;neutral
HousekeepingCleaner48.png;38.0;Man;asian;happy
HousekeepingCleaner49.png;46.0;Man;white;sad
HousekeepingCleaner50.png;39.0;Man;latino hispanic;happy
HousekeepingCleaner51.png;50.0;Man;asian;neutral
HousekeepingCleaner52.png;30.0;Man;asian;happy
HousekeepingCleaner53.png;33.0;Woman;asian;happy
HousekeepingCleaner54.png;41.0;Man;white;neutral
HousekeepingCleaner55.png;39.0;Woman;latino hispanic;happy
HousekeepingCleaner56.png;41.0;Woman;asian;happy
HousekeepingCleaner57.png;36.0;Man;white;happy
HousekeepingCleaner58.png;37.0;Man;asian;happy
HousekeepingCleaner59.png;36.0;Man;white;happy
HousekeepingCleaner60.png;35.0;Woman;middle eastern;neutral
HousekeepingCleaner61.png;39.0;Woman;middle eastern;fear
HousekeepingCleaner62.png;43.0;Man;asian;happy
HousekeepingCleaner63.png;39.0;Man;white;happy
HousekeepingCleaner64.png;28.0;Woman;latino hispanic;happy
HousekeepingCleaner65.png;44.0;Woman;asian;happy
HousekeepingCleaner66.png;40.0;Man;white;fear
HousekeepingCleaner67.png;;;;
HousekeepingCleaner68.png;;;;
HousekeepingCleaner69.png;44.0;Man;white;neutral
HousekeepingCleaner70.png;32.0;Man;asian;fear
HousekeepingCleaner71.png;;;;
HousekeepingCleaner72.png;27.0;Man;asian;happy
HousekeepingCleaner73.png;50.0;Man;asian;neutral
HousekeepingCleaner74.png;32.0;Man;white;sad
HousekeepingCleaner75.png;39.0;Woman;latino hispanic;happy
HousekeepingCleaner76.png;32.0;Man;asian;sad
HousekeepingCleaner77.png;35.0;Man;white;sad
HousekeepingCleaner78.png;47.0;Woman;white;happy
HousekeepingCleaner79.png;39.0;Man;white;happy
HousekeepingCleaner80.png;50.0;Man;asian;happy
HousekeepingCleaner81.png;33.0;Woman;latino hispanic;happy
HousekeepingCleaner82.png;44.0;Woman;white;happy
HousekeepingCleaner83.png;27.0;Man;white;happy
HousekeepingCleaner84.png;28.0;Man;white;sad
HousekeepingCleaner85.png;33.0;Woman;white;happy
HousekeepingCleaner86.png;44.0;Man;asian;neutral
HousekeepingCleaner87.png;28.0;Man;white;neutral
HousekeepingCleaner88.png;46.0;Man;indian;happy
HousekeepingCleaner89.png;37.0;Man;asian;neutral
HousekeepingCleaner90.png;31.0;Woman;white;happy
HousekeepingCleaner91.png;33.0;Woman;white;happy
HousekeepingCleaner92.png;48.0;Man;asian;neutral
HousekeepingCleaner93.png;29.0;Man;white;sad
HousekeepingCleaner94.png;35.0;Woman;white;happy
HousekeepingCleaner95.png;41.0;Man;white;neutral
HousekeepingCleaner96.png;48.0;Man;latino hispanic;neutral
HousekeepingCleaner97.png;41.0;Woman;asian;happy
HousekeepingCleaner98.png;32.0;Woman;asian;happy
HousekeepingCleaner99.png;45.0;Woman;latino hispanic;happy
HousekeepingCleaner100.png;44.0;Man;asian;sad
