image	glasses	tie	book	laptop	phone	chair	table	bag	watch	uniform	pen	desk	gloves	apron	monitor	clipboard
Jailer1.png	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Jailer2.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer3.png	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer4.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer5.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer6.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer7.png	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer8.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Jailer9.png	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Jailer10.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Jailer11.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer12.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer13.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer14.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Jailer15.png	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Jailer16.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Jailer17.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer18.png	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Jailer19.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer20.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer21.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer22.png	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Jailer23.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Jailer24.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Jailer25.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer26.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer27.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer28.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer29.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Jailer30.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer31.png	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Jailer32.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer33.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Jailer34.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Jailer35.png	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Jailer36.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer37.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jailer38.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
