image;age;gender;dominant_race;dominant_emotion
SchoolBusDriver1.png;41.0;Man;indian;neutral
SchoolBusDriver2.png;31.0;Man;black;happy
SchoolBusDriver3.png;;;;
SchoolBusDriver4.png;31.0;Man;black;happy
SchoolBusDriver5.png;32.0;Woman;black;neutral
SchoolBusDriver6.png;40.0;Man;latino hispanic;happy
SchoolBusDriver7.png;33.0;Woman;asian;happy
SchoolBusDriver8.png;36.0;Man;black;angry
SchoolBusDriver9.png;45.0;Man;black;neutral
SchoolBusDriver10.png;31.0;Man;black;happy
SchoolBusDriver11.png;32.0;Man;black;neutral
SchoolBusDriver12.png;32.0;Man;asian;happy
SchoolBusDriver13.png;47.0;Man;white;happy
SchoolBusDriver14.png;28.0;Man;white;angry
SchoolBusDriver15.png;30.0;Man;black;neutral
SchoolBusDriver16.png;46.0;Man;black;neutral
SchoolBusDriver17.png;;;;
SchoolBusDriver18.png;43.0;Man;black;neutral
SchoolBusDriver19.png;32.0;Man;black;neutral
SchoolBusDriver20.png;40.0;Man;middle eastern;happy
SchoolBusDriver21.png;29.0;Man;black;neutral
SchoolBusDriver22.png;30.0;Man;black;happy
SchoolBusDriver23.png;32.0;Man;black;happy
SchoolBusDriver24.png;30.0;Man;black;fear
SchoolBusDriver25.png;33.0;Woman;black;happy
SchoolBusDriver26.png;37.0;Man;black;neutral
SchoolBusDriver27.png;27.0;Man;black;neutral
SchoolBusDriver28.png;35.0;Man;black;neutral
SchoolBusDriver29.png;29.0;Man;black;neutral
SchoolBusDriver30.png;39.0;Man;white;neutral
SchoolBusDriver31.png;39.0;Man;black;neutral
SchoolBusDriver32.png;31.0;Man;middle eastern;fear
SchoolBusDriver33.png;34.0;Man;white;happy
SchoolBusDriver34.png;33.0;Man;black;neutral
SchoolBusDriver35.png;32.0;Man;black;happy
SchoolBusDriver36.png;44.0;Man;black;neutral
SchoolBusDriver37.png;26.0;Man;latino hispanic;neutral
SchoolBusDriver38.png;47.0;Man;white;angry
SchoolBusDriver39.png;33.0;Man;latino hispanic;happy
SchoolBusDriver40.png;38.0;Man;black;neutral
SchoolBusDriver41.png;39.0;Man;black;neutral
SchoolBusDriver42.png;34.0;Man;black;happy
SchoolBusDriver43.png;26.0;Man;black;angry
SchoolBusDriver44.png;38.0;Man;black;happy
SchoolBusDriver45.png;31.0;Man;latino hispanic;neutral
SchoolBusDriver46.png;37.0;Man;white;neutral
SchoolBusDriver47.png;33.0;Man;black;happy
SchoolBusDriver48.png;29.0;Man;black;neutral
SchoolBusDriver49.png;;;;
SchoolBusDriver50.png;40.0;Man;black;angry
SchoolBusDriver51.png;32.0;Man;black;neutral
SchoolBusDriver52.png;29.0;Man;white;fear
SchoolBusDriver53.png;37.0;Woman;latino hispanic;happy
SchoolBusDriver54.png;33.0;Man;black;happy
SchoolBusDriver55.png;29.0;Man;black;neutral
SchoolBusDriver56.png;34.0;Man;black;happy
SchoolBusDriver57.png;28.0;Man;black;happy
SchoolBusDriver58.png;46.0;Man;black;neutral
SchoolBusDriver59.png;31.0;Man;black;angry
SchoolBusDriver60.png;35.0;Man;black;neutral
SchoolBusDriver61.png;34.0;Man;black;angry
SchoolBusDriver62.png;35.0;Man;black;neutral
SchoolBusDriver63.png;28.0;Man;white;sad
SchoolBusDriver64.png;29.0;Man;black;angry
SchoolBusDriver65.png;32.0;Man;indian;neutral
SchoolBusDriver66.png;32.0;Man;black;neutral
SchoolBusDriver67.png;29.0;Man;black;neutral
SchoolBusDriver68.png;31.0;Man;black;neutral
SchoolBusDriver69.png;33.0;Man;black;neutral
SchoolBusDriver70.png;35.0;Man;black;neutral
SchoolBusDriver71.png;41.0;Man;latino hispanic;neutral
SchoolBusDriver72.png;38.0;Man;black;neutral
SchoolBusDriver73.png;28.0;Man;black;neutral
SchoolBusDriver74.png;38.0;Man;black;angry
SchoolBusDriver75.png;;;;
SchoolBusDriver76.png;;;;
SchoolBusDriver77.png;31.0;Woman;black;neutral
SchoolBusDriver78.png;24.0;Man;black;neutral
SchoolBusDriver79.png;33.0;Man;latino hispanic;neutral
SchoolBusDriver80.png;36.0;Woman;black;happy
SchoolBusDriver81.png;30.0;Man;black;happy
SchoolBusDriver82.png;33.0;Man;black;happy
SchoolBusDriver83.png;30.0;Man;black;neutral
SchoolBusDriver84.png;37.0;Man;black;happy
SchoolBusDriver85.png;32.0;Man;white;neutral
SchoolBusDriver86.png;38.0;Man;black;neutral
SchoolBusDriver87.png;28.0;Man;asian;sad
SchoolBusDriver88.png;34.0;Man;black;angry
SchoolBusDriver89.png;32.0;Man;white;neutral
SchoolBusDriver90.png;35.0;Man;black;sad
SchoolBusDriver91.png;31.0;Man;black;happy
SchoolBusDriver92.png;27.0;Man;black;neutral
SchoolBusDriver93.png;36.0;Man;black;neutral
SchoolBusDriver94.png;34.0;Man;black;happy
SchoolBusDriver95.png;32.0;Man;black;neutral
SchoolBusDriver96.png;30.0;Man;black;neutral
SchoolBusDriver97.png;32.0;Man;latino hispanic;sad
SchoolBusDriver98.png;46.0;Man;white;sad
SchoolBusDriver99.png;34.0;Man;black;angry
SchoolBusDriver100.png;36.0;Man;black;happy
SchoolBusDriver101.png;28.0;Man;middle eastern;fear
SchoolBusDriver102.png;41.0;Man;black;angry
SchoolBusDriver103.png;25.0;Man;black;angry
SchoolBusDriver104.png;38.0;Man;black;neutral
SchoolBusDriver105.png;41.0;Man;asian;angry
SchoolBusDriver106.png;25.0;Man;black;happy
SchoolBusDriver107.png;25.0;Man;white;sad
SchoolBusDriver108.png;32.0;Man;black;neutral
SchoolBusDriver109.png;31.0;Man;latino hispanic;happy
SchoolBusDriver110.png;32.0;Man;black;neutral
