image;age;gender;dominant_race;dominant_emotion
SupervisorOfReepairers1.png;36.0;Man;white;happy
SupervisorOfReepairers2.png;29.0;Man;white;fear
SupervisorOfReepairers3.png;32.0;Man;white;neutral
SupervisorOfReepairers4.png;33.0;Man;white;angry
SupervisorOfReepairers5.png;39.0;Man;black;neutral
SupervisorOfReepairers6.png;33.0;Man;black;happy
SupervisorOfReepairers7.png;30.0;Man;white;neutral
SupervisorOfReepairers8.png;34.0;Man;latino hispanic;neutral
SupervisorOfReepairers9.png;38.0;Man;middle eastern;fear
SupervisorOfReepairers10.png;34.0;Man;white;happy
SupervisorOfReepairers11.png;35.0;Man;middle eastern;neutral
SupervisorOfReepairers12.png;34.0;Man;white;fear
SupervisorOfReepairers13.png;35.0;Man;white;neutral
SupervisorOfReepairers14.png;34.0;Man;white;neutral
SupervisorOfReepairers15.png;39.0;Man;white;happy
SupervisorOfReepairers16.png;31.0;Man;white;fear
SupervisorOfReepairers17.png;33.0;Man;white;neutral
SupervisorOfReepairers18.png;33.0;Man;middle eastern;happy
SupervisorOfReepairers19.png;43.0;Man;black;neutral
SupervisorOfReepairers20.png;27.0;Man;white;neutral
SupervisorOfReepairers21.png;31.0;Man;black;neutral
SupervisorOfReepairers22.png;36.0;Man;white;sad
SupervisorOfReepairers23.png;35.0;Man;white;neutral
SupervisorOfReepairers24.png;35.0;Man;white;sad
SupervisorOfReepairers25.png;33.0;Man;white;surprise
SupervisorOfReepairers26.png;33.0;Man;white;neutral
SupervisorOfReepairers27.png;31.0;Man;white;neutral
SupervisorOfReepairers28.png;26.0;Man;black;sad
SupervisorOfReepairers29.png;32.0;Man;middle eastern;happy
SupervisorOfReepairers30.png;35.0;Man;white;neutral
SupervisorOfReepairers31.png;34.0;Man;white;neutral
SupervisorOfReepairers32.png;39.0;Man;white;neutral
SupervisorOfReepairers33.png;30.0;Man;white;neutral
SupervisorOfReepairers34.png;33.0;Man;black;neutral
SupervisorOfReepairers35.png;38.0;Man;white;neutral
SupervisorOfReepairers36.png;33.0;Man;white;happy
SupervisorOfReepairers37.png;34.0;Man;latino hispanic;happy
SupervisorOfReepairers38.png;32.0;Man;white;neutral
SupervisorOfReepairers39.png;;;;
SupervisorOfReepairers40.png;;;;
SupervisorOfReepairers41.png;37.0;Man;white;happy
SupervisorOfReepairers42.png;35.0;Man;white;neutral
SupervisorOfReepairers43.png;32.0;Man;white;neutral
SupervisorOfReepairers44.png;28.0;Man;middle eastern;surprise
SupervisorOfReepairers45.png;40.0;Man;white;neutral
SupervisorOfReepairers46.png;33.0;Man;black;angry
SupervisorOfReepairers47.png;32.0;Woman;black;sad
SupervisorOfReepairers48.png;29.0;Man;black;neutral
SupervisorOfReepairers49.png;28.0;Man;black;neutral
SupervisorOfReepairers50.png;35.0;Man;middle eastern;fear
SupervisorOfReepairers51.png;34.0;Man;black;happy
SupervisorOfReepairers52.png;27.0;Man;white;neutral
SupervisorOfReepairers53.png;36.0;Man;latino hispanic;happy
SupervisorOfReepairers54.png;34.0;Man;white;happy
SupervisorOfReepairers55.png;29.0;Man;middle eastern;angry
SupervisorOfReepairers56.png;42.0;Man;white;fear
SupervisorOfReepairers57.png;31.0;Man;black;angry
SupervisorOfReepairers58.png;36.0;Man;black;sad
SupervisorOfReepairers59.png;34.0;Man;black;happy
SupervisorOfReepairers60.png;37.0;Man;latino hispanic;neutral
SupervisorOfReepairers61.png;37.0;Man;white;neutral
SupervisorOfReepairers62.png;31.0;Man;white;neutral
SupervisorOfReepairers63.png;39.0;Man;white;happy
SupervisorOfReepairers64.png;34.0;Man;white;sad
SupervisorOfReepairers65.png;30.0;Man;black;happy
SupervisorOfReepairers66.png;33.0;Man;black;happy
SupervisorOfReepairers67.png;33.0;Man;black;neutral
SupervisorOfReepairers68.png;35.0;Man;white;neutral
SupervisorOfReepairers69.png;38.0;Man;middle eastern;neutral
SupervisorOfReepairers70.png;32.0;Man;middle eastern;neutral
SupervisorOfReepairers71.png;32.0;Man;white;happy
SupervisorOfReepairers72.png;34.0;Man;middle eastern;neutral
SupervisorOfReepairers73.png;46.0;Man;white;neutral
SupervisorOfReepairers74.png;33.0;Man;white;happy
SupervisorOfReepairers75.png;32.0;Man;middle eastern;angry
SupervisorOfReepairers76.png;37.0;Man;black;sad
SupervisorOfReepairers77.png;28.0;Man;white;neutral
SupervisorOfReepairers78.png;33.0;Man;white;happy
SupervisorOfReepairers79.png;;;;
SupervisorOfReepairers80.png;32.0;Man;white;neutral
SupervisorOfReepairers81.png;38.0;Man;middle eastern;neutral
SupervisorOfReepairers82.png;38.0;Man;white;neutral
SupervisorOfReepairers83.png;30.0;Woman;asian;neutral
SupervisorOfReepairers84.png;33.0;Man;white;neutral
SupervisorOfReepairers85.png;32.0;Man;white;neutral
SupervisorOfReepairers86.png;41.0;Man;white;neutral
SupervisorOfReepairers87.png;35.0;Man;white;neutral
SupervisorOfReepairers88.png;33.0;Man;white;sad
SupervisorOfReepairers89.png;40.0;Man;white;happy
SupervisorOfReepairers90.png;;;;
SupervisorOfReepairers91.png;29.0;Man;white;neutral
SupervisorOfReepairers92.png;32.0;Man;white;neutral
SupervisorOfReepairers93.png;33.0;Man;white;neutral
SupervisorOfReepairers94.png;33.0;Man;white;neutral
SupervisorOfReepairers95.png;33.0;Man;white;neutral
SupervisorOfReepairers96.png;31.0;Man;white;sad
SupervisorOfReepairers97.png;43.0;Man;latino hispanic;neutral
SupervisorOfReepairers98.png;;;;
SupervisorOfReepairers99.png;41.0;Man;latino hispanic;neutral
SupervisorOfReepairers100.png;32.0;Man;white;neutral
