image;age;gender;dominant_race;dominant_emotion
Surgeon1.png;24.0;Man;asian;neutral
Surgeon2.png;34.0;Man;middle eastern;neutral
Surgeon3.png;;;;
Surgeon4.png;35.0;Man;middle eastern;neutral
Surgeon5.png;32.0;Man;middle eastern;happy
Surgeon6.png;32.0;Woman;latino hispanic;happy
Surgeon7.png;32.0;Man;middle eastern;neutral
Surgeon8.png;32.0;Woman;white;happy
Surgeon9.png;;;;
Surgeon10.png;32.0;Man;middle eastern;neutral
Surgeon11.png;32.0;Man;middle eastern;neutral
Surgeon12.png;31.0;Man;middle eastern;happy
Surgeon13.png;33.0;Man;middle eastern;neutral
Surgeon14.png;30.0;Man;white;neutral
Surgeon15.png;31.0;Man;white;neutral
Surgeon16.png;40.0;Man;white;neutral
Surgeon17.png;;;;
Surgeon18.png;39.0;Man;middle eastern;neutral
Surgeon19.png;29.0;Man;middle eastern;neutral
Surgeon20.png;33.0;Man;middle eastern;happy
Surgeon21.png;34.0;Man;middle eastern;neutral
Surgeon22.png;29.0;Man;middle eastern;happy
Surgeon23.png;;;;
Surgeon24.png;31.0;Man;latino hispanic;neutral
Surgeon25.png;33.0;Man;middle eastern;neutral
Surgeon26.png;34.0;Man;white;happy
Surgeon27.png;29.0;Man;middle eastern;neutral
Surgeon28.png;28.0;Man;middle eastern;neutral
Surgeon29.png;28.0;Man;white;angry
Surgeon30.png;40.0;Man;white;neutral
Surgeon31.png;31.0;Man;middle eastern;neutral
Surgeon32.png;36.0;Man;middle eastern;neutral
Surgeon33.png;40.0;Man;middle eastern;happy
Surgeon34.png;33.0;Woman;white;happy
Surgeon35.png;28.0;Man;white;angry
Surgeon36.png;33.0;Man;middle eastern;neutral
Surgeon37.png;35.0;Man;middle eastern;angry
Surgeon38.png;41.0;Man;middle eastern;happy
Surgeon39.png;34.0;Man;white;happy
Surgeon40.png;29.0;Man;white;neutral
Surgeon41.png;35.0;Man;middle eastern;neutral
Surgeon42.png;32.0;Man;white;neutral
Surgeon43.png;;;;
Surgeon44.png;30.0;Woman;white;neutral
Surgeon45.png;33.0;Man;middle eastern;neutral
Surgeon46.png;33.0;Man;white;neutral
Surgeon47.png;32.0;Man;middle eastern;neutral
Surgeon48.png;32.0;Man;middle eastern;neutral
Surgeon49.png;34.0;Man;middle eastern;happy
Surgeon50.png;34.0;Man;middle eastern;neutral
Surgeon51.png;31.0;Man;white;neutral
Surgeon52.png;23.0;Man;white;fear
Surgeon53.png;34.0;Woman;white;neutral
Surgeon54.png;29.0;Man;white;neutral
Surgeon55.png;33.0;Man;middle eastern;neutral
Surgeon56.png;;;;
Surgeon57.png;32.0;Man;white;happy
Surgeon58.png;34.0;Man;middle eastern;neutral
Surgeon59.png;29.0;Man;white;happy
Surgeon60.png;35.0;Woman;white;happy
Surgeon61.png;33.0;Man;white;neutral
Surgeon62.png;26.0;Man;middle eastern;neutral
Surgeon63.png;;;;
Surgeon64.png;27.0;Man;middle eastern;neutral
Surgeon65.png;28.0;Man;middle eastern;neutral
Surgeon66.png;29.0;Man;middle eastern;happy
Surgeon67.png;33.0;Man;middle eastern;happy
Surgeon68.png;;;;
Surgeon69.png;33.0;Man;white;neutral
Surgeon70.png;39.0;Man;middle eastern;neutral
Surgeon71.png;31.0;Man;white;sad
Surgeon72.png;36.0;Woman;white;happy
Surgeon73.png;34.0;Man;white;neutral
Surgeon74.png;33.0;Man;middle eastern;neutral
Surgeon75.png;31.0;Man;middle eastern;neutral
Surgeon76.png;30.0;Man;middle eastern;neutral
Surgeon77.png;31.0;Woman;middle eastern;happy
Surgeon78.png;33.0;Man;white;happy
Surgeon79.png;30.0;Woman;white;neutral
Surgeon80.png;24.0;Man;middle eastern;happy
Surgeon81.png;32.0;Man;white;neutral
Surgeon82.png;33.0;Man;middle eastern;happy
Surgeon83.png;30.0;Man;middle eastern;happy
Surgeon84.png;;;;
Surgeon85.png;32.0;Man;white;happy
Surgeon86.png;32.0;Man;middle eastern;happy
Surgeon87.png;30.0;Man;middle eastern;neutral
Surgeon88.png;27.0;Man;indian;neutral
Surgeon89.png;32.0;Man;middle eastern;happy
Surgeon90.png;33.0;Man;white;neutral
Surgeon91.png;37.0;Man;middle eastern;neutral
Surgeon92.png;34.0;Man;middle eastern;neutral
Surgeon93.png;33.0;Man;middle eastern;neutral
Surgeon94.png;32.0;Man;middle eastern;neutral
Surgeon95.png;32.0;Man;white;neutral
Surgeon96.png;33.0;Man;white;neutral
Surgeon97.png;34.0;Man;white;neutral
Surgeon98.png;32.0;Man;middle eastern;happy
Surgeon99.png;33.0;Man;white;happy
Surgeon100.png;33.0;Man;white;happy
