image	glasses	tie	book	laptop	phone	chair	table	bag	watch	uniform	pen	desk	gloves	apron	monitor	clipboard
Accountant1.png	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0
Accountant2.png	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Accountant3.png	1	1	1	0	0	2	0	0	0	0	0	2	0	0	0	0
Accountant4.png	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant5.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant6.png	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0
Accountant7.png	0	1	0	0	0	1	0	0	1	0	0	2	0	0	0	0
Accountant8.png	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant9.png	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant10.png	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Accountant11.png	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Accountant12.png	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant13.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant14.png	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
Accountant15.png	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Accountant16.png	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant17.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant18.png	0	1	1	0	0	2	0	0	0	0	3	2	0	0	0	0
Accountant19.png	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Accountant20.png	0	1	3	1	0	1	0	0	0	0	2	2	0	0	0	0
Accountant21.png	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant22.png	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0
Accountant23.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant24.png	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Accountant25.png	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant26.png	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0
Accountant27.png	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0
Accountant28.png	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Accountant29.png	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0
Accountant30.png	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Accountant31.png	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Accountant32.png	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0
Accountant33.png	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant34.png	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Accountant35.png	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Accountant36.png	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Accountant37.png	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0
Accountant38.png	0	2	1	0	0	0	0	0	1	0	0	1	0	0	1	0
Accountant39.png	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Accountant40.png	0	0	2	1	0	2	0	0	0	0	0	2	0	0	0	0
Accountant41.png	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant42.png	1	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0
Accountant43.png	1	1	2	0	1	0	0	0	0	0	1	2	0	0	0	0
Accountant44.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Accountant45.png	0	2	1	1	0	0	0	0	0	0	1	2	0	0	0	0
Accountant46.png	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Accountant47.png	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Accountant48.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Accountant49.png	0	1	0	1	0	1	0	0	1	0	0	2	0	0	0	0
Accountant50.png	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Accountant51.png	1	1	3	0	1	1	0	0	0	0	0	2	0	0	0	0
Accountant52.png	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0
Accountant53.png	0	2	0	1	1	0	0	0	0	0	3	2	0	0	1	0
Accountant54.png	1	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0
Accountant55.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant56.png	1	1	6	0	0	0	0	0	0	0	0	1	0	0	0	0
Accountant57.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant58.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant59.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant60.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant61.png	1	1	2	0	1	0	0	0	0	0	1	1	0	0	0	0
Accountant62.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant63.png	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Accountant64.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant65.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accountant66.png	0	1	1	0	0	1	0	0	0	0	1	2	0	0	0	0
Accountant67.png	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
Accountant68.png	0	1	2	0	2	0	0	0	0	0	1	1	0	0	0	0
Accountant69.png	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Accountant70.png	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
