image;age;gender;dominant_race;dominant_emotion
Accountant1.png;23.0;Man;middle eastern;neutral
Accountant2.png;31.0;Man;asian;happy
Accountant3.png;27.0;Man;white;happy
Accountant4.png;24.0;Man;middle eastern;neutral
Accountant5.png;29.0;Man;white;neutral
Accountant6.png;29.0;Man;middle eastern;happy
Accountant7.png;30.0;Man;middle eastern;neutral
Accountant8.png;31.0;Man;latino hispanic;happy
Accountant9.png;26.0;Man;middle eastern;happy
Accountant10.png;29.0;Man;middle eastern;happy
Accountant11.png;25.0;Man;white;neutral
Accountant12.png;27.0;Man;latino hispanic;sad
Accountant13.png;26.0;Man;middle eastern;neutral
Accountant14.png;29.0;Man;middle eastern;happy
Accountant15.png;30.0;Man;white;happy
Accountant16.png;31.0;Man;middle eastern;neutral
Accountant17.png;32.0;Man;middle eastern;happy
Accountant18.png;26.0;Man;middle eastern;happy
Accountant19.png;27.0;Man;white;angry
Accountant20.png;31.0;Man;middle eastern;happy
Accountant21.png;27.0;Man;white;neutral
Accountant22.png;33.0;Woman;middle eastern;angry
Accountant23.png;31.0;Man;middle eastern;neutral
Accountant24.png;32.0;Man;middle eastern;neutral
Accountant25.png;28.0;Man;middle eastern;happy
Accountant26.png;33.0;Man;middle eastern;happy
Accountant27.png;30.0;Man;middle eastern;happy
Accountant28.png;26.0;Man;white;happy
Accountant29.png;26.0;Man;middle eastern;happy
Accountant30.png;29.0;Man;white;happy
Accountant31.png;30.0;Man;middle eastern;happy
Accountant32.png;27.0;Man;middle eastern;neutral
Accountant33.png;26.0;Man;middle eastern;happy
Accountant34.png;27.0;Man;middle eastern;neutral
Accountant35.png;25.0;Man;middle eastern;happy
Accountant36.png;29.0;Man;middle eastern;happy
Accountant37.png;31.0;Man;middle eastern;happy
Accountant38.png;23.0;Man;middle eastern;happy
Accountant39.png;30.0;Man;middle eastern;neutral
Accountant40.png;31.0;Woman;white;happy
Accountant41.png;32.0;Woman;white;happy
Accountant42.png;26.0;Man;white;happy
Accountant43.png;30.0;Man;middle eastern;neutral
Accountant44.png;29.0;Man;latino hispanic;happy
Accountant45.png;27.0;Man;white;happy
Accountant46.png;26.0;Man;middle eastern;neutral
Accountant47.png;27.0;Man;middle eastern;neutral
Accountant48.png;32.0;Man;white;happy
Accountant49.png;31.0;Man;white;neutral
Accountant50.png;31.0;Man;white;neutral
Accountant51.png;30.0;Man;middle eastern;neutral
Accountant52.png;32.0;Man;white;neutral
Accountant53.png;25.0;Man;middle eastern;neutral
Accountant54.png;30.0;Man;middle eastern;angry
Accountant55.png;28.0;Man;latino hispanic;happy
Accountant56.png;28.0;Man;middle eastern;neutral
Accountant57.png;27.0;Man;white;happy
Accountant58.png;31.0;Man;white;happy
Accountant59.png;28.0;Man;middle eastern;angry
Accountant60.png;31.0;Man;white;angry
Accountant61.png;31.0;Man;middle eastern;happy
Accountant62.png;32.0;Man;middle eastern;happy
Accountant63.png;26.0;Man;white;neutral
Accountant64.png;29.0;Man;middle eastern;neutral
Accountant65.png;32.0;Man;white;angry
Accountant66.png;25.0;Man;middle eastern;happy
Accountant67.png;33.0;Woman;white;happy
Accountant68.png;31.0;Man;white;happy
Accountant69.png;;;;
Accountant70.png;32.0;Man;white;happy
Accountant71.png;27.0;Man;middle eastern;happy
Accountant72.png;30.0;Man;white;happy
Accountant73.png;31.0;Man;middle eastern;neutral
Accountant74.png;27.0;Man;middle eastern;happy
Accountant75.png;32.0;Woman;white;happy
Accountant76.png;31.0;Woman;white;happy
Accountant77.png;28.0;Man;white;neutral
Accountant78.png;32.0;Man;middle eastern;happy
Accountant79.png;31.0;Woman;latino hispanic;happy
Accountant80.png;29.0;Man;middle eastern;happy
Accountant81.png;31.0;Man;middle eastern;happy
Accountant82.png;22.0;Man;white;happy
Accountant83.png;32.0;Woman;middle eastern;happy
Accountant84.png;29.0;Man;middle eastern;happy
Accountant85.png;32.0;Man;white;neutral
Accountant86.png;32.0;Woman;middle eastern;happy
Accountant87.png;27.0;Man;middle eastern;angry
Accountant88.png;27.0;Man;middle eastern;happy
Accountant89.png;29.0;Man;middle eastern;happy
Accountant90.png;27.0;Man;white;neutral
Accountant91.png;32.0;Man;middle eastern;happy
Accountant92.png;28.0;Man;middle eastern;neutral
Accountant93.png;;;;
Accountant94.png;28.0;Man;middle eastern;happy
Accountant95.png;29.0;Man;middle eastern;happy
Accountant96.png;;;;
Accountant97.png;33.0;Man;middle eastern;happy
Accountant98.png;28.0;Man;middle eastern;happy
Accountant99.png;26.0;Man;white;happy
Accountant100.png;;;;
Accountant101.png;31.0;Man;white;happy
Accountant102.png;29.0;Man;indian;happy
Accountant103.png;31.0;Man;middle eastern;angry
Accountant104.png;30.0;Man;white;happy
Accountant105.png;31.0;Man;middle eastern;neutral
Accountant106.png;28.0;Man;asian;neutral
Accountant107.png;25.0;Man;middle eastern;happy
Accountant108.png;25.0;Man;white;neutral
Accountant109.png;29.0;Man;white;neutral
Accountant110.png;28.0;Man;middle eastern;neutral
Accountant111.png;28.0;Man;middle eastern;happy
Accountant112.png;29.0;Man;middle eastern;happy
Accountant113.png;28.0;Man;white;neutral
Accountant114.png;;;;
Accountant115.png;27.0;Man;middle eastern;happy
Accountant116.png;26.0;Man;middle eastern;angry
Accountant117.png;33.0;Man;middle eastern;happy
Accountant118.png;27.0;Man;latino hispanic;neutral
Accountant119.png;30.0;Man;white;neutral
