image;age;gender;dominant_race;dominant_emotion
Cook1.png;27.0;Man;middle eastern;happy
Cook2.png;40.0;Man;middle eastern;neutral
Cook3.png;30.0;Man;latino hispanic;happy
Cook4.png;31.0;Man;middle eastern;neutral
Cook5.png;23.0;Man;middle eastern;neutral
Cook6.png;29.0;Man;middle eastern;happy
Cook7.png;;;;
Cook8.png;31.0;Man;middle eastern;happy
Cook9.png;30.0;Man;white;fear
Cook10.png;27.0;Man;latino hispanic;happy
Cook11.png;30.0;Woman;middle eastern;happy
Cook12.png;32.0;Man;middle eastern;happy
Cook13.png;25.0;Man;white;happy
Cook14.png;34.0;Man;middle eastern;neutral
Cook15.png;;;;
Cook16.png;31.0;Man;middle eastern;happy
Cook17.png;26.0;Man;white;happy
Cook18.png;28.0;Man;middle eastern;happy
Cook19.png;26.0;Man;middle eastern;happy
Cook20.png;30.0;Man;white;happy
Cook21.png;30.0;Man;white;happy
Cook22.png;31.0;Man;white;happy
Cook23.png;33.0;Man;middle eastern;neutral
Cook24.png;29.0;Man;white;happy
Cook25.png;32.0;Man;white;happy
Cook26.png;23.0;Man;white;happy
Cook27.png;29.0;Man;white;happy
Cook28.png;35.0;Man;middle eastern;happy
Cook29.png;31.0;Man;middle eastern;happy
Cook30.png;31.0;Man;middle eastern;neutral
Cook31.png;31.0;Man;middle eastern;happy
Cook32.png;41.0;Man;white;happy
Cook33.png;50.0;Man;latino hispanic;happy
Cook34.png;27.0;Man;middle eastern;happy
Cook35.png;28.0;Man;middle eastern;happy
Cook36.png;32.0;Man;middle eastern;neutral
Cook37.png;24.0;Man;white;happy
Cook38.png;27.0;Man;middle eastern;happy
Cook39.png;29.0;Man;white;neutral
Cook40.png;32.0;Man;white;happy
Cook41.png;35.0;Man;middle eastern;fear
Cook42.png;;;;
Cook43.png;31.0;Man;middle eastern;neutral
Cook44.png;30.0;Man;middle eastern;happy
Cook45.png;27.0;Man;middle eastern;neutral
Cook46.png;29.0;Man;middle eastern;neutral
Cook47.png;27.0;Man;white;neutral
Cook48.png;25.0;Man;middle eastern;neutral
Cook49.png;28.0;Man;middle eastern;happy
Cook50.png;31.0;Man;white;happy
Cook51.png;28.0;Man;white;happy
Cook52.png;28.0;Man;middle eastern;neutral
Cook53.png;26.0;Man;middle eastern;neutral
Cook54.png;;;;
Cook55.png;28.0;Man;white;happy
Cook56.png;26.0;Man;white;neutral
Cook57.png;26.0;Man;middle eastern;happy
Cook58.png;31.0;Man;middle eastern;happy
Cook59.png;23.0;Man;middle eastern;neutral
Cook60.png;30.0;Man;white;happy
Cook61.png;34.0;Man;middle eastern;happy
Cook62.png;33.0;Man;middle eastern;happy
Cook63.png;36.0;Man;middle eastern;angry
Cook64.png;26.0;Man;middle eastern;neutral
Cook65.png;25.0;Man;middle eastern;neutral
Cook66.png;25.0;Man;white;happy
Cook67.png;29.0;Man;middle eastern;happy
Cook68.png;27.0;Man;middle eastern;happy
Cook69.png;25.0;Man;middle eastern;neutral
Cook70.png;33.0;Man;middle eastern;neutral
Cook71.png;33.0;Man;white;neutral
Cook72.png;30.0;Man;middle eastern;happy
Cook73.png;25.0;Man;white;happy
Cook74.png;25.0;Man;middle eastern;neutral
Cook75.png;29.0;Man;middle eastern;happy
Cook76.png;24.0;Man;middle eastern;happy
Cook77.png;27.0;Man;middle eastern;neutral
Cook78.png;29.0;Man;middle eastern;neutral
Cook79.png;29.0;Man;middle eastern;neutral
Cook80.png;28.0;Man;white;happy
Cook81.png;24.0;Man;latino hispanic;happy
Cook82.png;27.0;Man;white;neutral
Cook83.png;26.0;Man;latino hispanic;happy
Cook84.png;31.0;Man;middle eastern;happy
Cook85.png;25.0;Man;middle eastern;neutral
Cook86.png;28.0;Man;middle eastern;happy
Cook87.png;35.0;Man;middle eastern;neutral
Cook88.png;33.0;Man;middle eastern;neutral
Cook89.png;26.0;Man;middle eastern;happy
Cook90.png;24.0;Man;middle eastern;neutral
Cook91.png;27.0;Man;white;happy
Cook92.png;29.0;Man;white;neutral
Cook93.png;31.0;Man;white;neutral
Cook94.png;26.0;Man;white;angry
Cook95.png;24.0;Man;middle eastern;happy
Cook96.png;26.0;Man;middle eastern;happy
Cook97.png;25.0;Man;white;sad
Cook98.png;26.0;Man;white;neutral
Cook99.png;34.0;Man;middle eastern;neutral
Cook100.png;33.0;Man;white;neutral
Cook101.png;27.0;Man;middle eastern;neutral
Cook102.png;;;;
Cook103.png;29.0;Man;white;neutral
Cook104.png;25.0;Man;middle eastern;neutral
Cook105.png;34.0;Man;white;happy
Cook106.png;32.0;Man;middle eastern;happy
Cook107.png;31.0;Man;middle eastern;neutral
Cook108.png;33.0;Man;white;happy
Cook109.png;27.0;Man;white;neutral
Cook110.png;28.0;Man;white;neutral
Cook111.png;32.0;Man;middle eastern;happy
Cook112.png;;;;
Cook113.png;27.0;Man;middle eastern;neutral
Cook114.png;24.0;Man;middle eastern;neutral
Cook115.png;24.0;Man;middle eastern;sad
Cook116.png;31.0;Man;middle eastern;happy
Cook117.png;35.0;Man;white;happy
Cook118.png;25.0;Man;middle eastern;happy
Cook119.png;30.0;Man;middle eastern;neutral
Cook120.png;29.0;Man;white;happy
Cook121.png;30.0;Man;middle eastern;happy
Cook122.png;27.0;Man;middle eastern;neutral
Cook123.png;40.0;Man;middle eastern;neutral
Cook124.png;24.0;Man;white;happy
Cook125.png;28.0;Man;middle eastern;happy
Cook126.png;31.0;Man;latino hispanic;happy
Cook127.png;;;;
Cook128.png;30.0;Man;latino hispanic;happy
Cook129.png;31.0;Man;white;happy
Cook130.png;29.0;Man;middle eastern;happy
Cook131.png;33.0;Man;middle eastern;neutral
Cook132.png;26.0;Man;latino hispanic;neutral
Cook133.png;30.0;Man;latino hispanic;happy
Cook134.png;28.0;Man;white;happy
Cook135.png;;;;
Cook136.png;28.0;Man;latino hispanic;happy
Cook137.png;25.0;Man;middle eastern;neutral
Cook138.png;31.0;Man;middle eastern;neutral
Cook139.png;26.0;Man;middle eastern;neutral
Cook140.png;26.0;Man;middle eastern;happy
Cook141.png;24.0;Man;middle eastern;happy
Cook142.png;33.0;Man;middle eastern;happy
Cook143.png;30.0;Man;white;happy
Cook144.png;26.0;Man;white;neutral
Cook145.png;28.0;Man;middle eastern;happy
Cook146.png;33.0;Man;white;happy
Cook147.png;31.0;Man;middle eastern;neutral
Cook148.png;28.0;Man;white;happy
Cook149.png;26.0;Man;white;happy
Cook150.png;24.0;Man;middle eastern;happy
Cook151.png;;;;
