image;age;gender;dominant_race;dominant_emotion
Courier1.png;29.0;Man;white;neutral
Courier2.png;31.0;Man;white;happy
Courier3.png;33.0;Man;white;happy
Courier4.png;31.0;Man;white;happy
Courier5.png;26.0;Man;asian;happy
Courier6.png;27.0;Man;white;neutral
Courier7.png;26.0;Man;middle eastern;happy
Courier8.png;26.0;Man;white;neutral
Courier9.png;29.0;Man;white;neutral
Courier10.png;28.0;Man;white;neutral
Courier11.png;28.0;Man;middle eastern;neutral
Courier12.png;30.0;Man;white;neutral
Courier13.png;32.0;Man;white;happy
Courier14.png;25.0;Man;white;happy
Courier15.png;26.0;Man;indian;neutral
Courier16.png;31.0;Man;middle eastern;neutral
Courier17.png;26.0;Man;white;neutral
Courier18.png;28.0;Man;white;neutral
Courier19.png;26.0;Man;white;neutral
Courier20.png;26.0;Man;middle eastern;neutral
Courier21.png;30.0;Man;white;neutral
Courier22.png;29.0;Man;white;happy
Courier23.png;28.0;Man;middle eastern;happy
Courier24.png;;;;
Courier25.png;30.0;Man;white;happy
Courier26.png;30.0;Man;white;happy
Courier27.png;27.0;Man;middle eastern;happy
Courier28.png;25.0;Man;white;happy
Courier29.png;28.0;Man;middle eastern;neutral
Courier30.png;28.0;Man;latino hispanic;happy
Courier31.png;25.0;Man;white;neutral
Courier32.png;27.0;Man;middle eastern;happy
Courier33.png;30.0;Man;white;neutral
Courier34.png;32.0;Man;white;neutral
Courier35.png;25.0;Man;middle eastern;neutral
Courier36.png;32.0;Man;white;neutral
Courier37.png;31.0;Man;middle eastern;neutral
Courier38.png;28.0;Man;white;neutral
Courier39.png;25.0;Man;white;neutral
Courier40.png;28.0;Man;white;neutral
Courier41.png;29.0;Man;white;neutral
Courier42.png;27.0;Man;white;neutral
Courier43.png;24.0;Man;white;happy
Courier44.png;26.0;Man;white;happy
Courier45.png;28.0;Man;middle eastern;happy
Courier46.png;25.0;Man;white;neutral
Courier47.png;33.0;Man;white;sad
Courier48.png;28.0;Man;middle eastern;neutral
Courier49.png;27.0;Man;white;neutral
Courier50.png;29.0;Man;white;neutral
Courier51.png;30.0;Man;white;neutral
Courier52.png;28.0;Man;middle eastern;happy
Courier53.png;25.0;Man;white;neutral
Courier54.png;28.0;Man;white;happy
Courier55.png;25.0;Man;asian;neutral
Courier56.png;33.0;Man;white;happy
Courier57.png;29.0;Man;middle eastern;happy
Courier58.png;32.0;Man;white;neutral
Courier59.png;30.0;Man;middle eastern;happy
Courier60.png;31.0;Man;latino hispanic;neutral
Courier61.png;30.0;Man;middle eastern;happy
Courier62.png;30.0;Man;white;neutral
Courier63.png;28.0;Man;middle eastern;neutral
Courier64.png;30.0;Man;white;neutral
Courier65.png;26.0;Man;white;happy
Courier66.png;26.0;Man;middle eastern;neutral
Courier67.png;31.0;Man;white;happy
Courier68.png;26.0;Man;white;happy
Courier69.png;31.0;Man;middle eastern;happy
Courier70.png;28.0;Man;white;neutral
Courier71.png;32.0;Man;middle eastern;neutral
Courier72.png;26.0;Man;white;neutral
Courier73.png;25.0;Man;white;happy
Courier74.png;26.0;Man;white;neutral
Courier75.png;31.0;Man;white;neutral
Courier76.png;30.0;Man;white;neutral
Courier77.png;29.0;Man;white;neutral
Courier78.png;25.0;Man;latino hispanic;neutral
Courier79.png;29.0;Man;white;neutral
Courier80.png;29.0;Man;white;neutral
Courier81.png;29.0;Man;middle eastern;happy
Courier82.png;26.0;Man;white;happy
Courier83.png;26.0;Man;middle eastern;happy
Courier84.png;28.0;Man;white;neutral
Courier85.png;31.0;Man;white;neutral
Courier86.png;28.0;Man;white;neutral
Courier87.png;28.0;Man;white;neutral
Courier88.png;23.0;Man;middle eastern;happy
Courier89.png;26.0;Man;white;neutral
Courier90.png;31.0;Man;white;happy
Courier91.png;26.0;Man;white;neutral
Courier92.png;27.0;Man;white;happy
Courier93.png;28.0;Man;white;happy
Courier94.png;29.0;Man;white;happy
Courier95.png;27.0;Man;white;neutral
Courier96.png;27.0;Man;white;neutral
Courier97.png;33.0;Man;middle eastern;neutral
Courier98.png;29.0;Man;white;neutral
Courier99.png;30.0;Man;middle eastern;happy
Courier100.png;31.0;Man;white;happy
