image;age;gender;dominant_race;dominant_emotion
FastFoodWorker1.png;23.0;Woman;latino hispanic;happy
FastFoodWorker2.png;28.0;Woman;latino hispanic;happy
FastFoodWorker3.png;25.0;Man;middle eastern;happy
FastFoodWorker4.png;29.0;Woman;latino hispanic;happy
FastFoodWorker5.png;29.0;Man;latino hispanic;happy
FastFoodWorker6.png;26.0;Woman;white;happy
FastFoodWorker7.png;31.0;Woman;white;happy
FastFoodWorker8.png;31.0;Man;white;happy
FastFoodWorker9.png;29.0;Woman;latino hispanic;happy
FastFoodWorker10.png;28.0;Woman;white;happy
FastFoodWorker11.png;26.0;Woman;latino hispanic;happy
FastFoodWorker12.png;26.0;Man;black;happy
FastFoodWorker13.png;21.0;Man;latino hispanic;happy
FastFoodWorker14.png;22.0;Man;latino hispanic;happy
FastFoodWorker15.png;26.0;Woman;white;happy
FastFoodWorker16.png;26.0;Woman;white;happy
FastFoodWorker17.png;22.0;Man;latino hispanic;happy
FastFoodWorker18.png;23.0;Man;latino hispanic;neutral
FastFoodWorker19.png;29.0;Woman;latino hispanic;happy
FastFoodWorker20.png;31.0;Woman;middle eastern;happy
FastFoodWorker21.png;27.0;Woman;middle eastern;happy
FastFoodWorker22.png;25.0;Man;latino hispanic;neutral
FastFoodWorker23.png;21.0;Woman;latino hispanic;happy
FastFoodWorker24.png;29.0;Man;middle eastern;happy
FastFoodWorker25.png;23.0;Man;latino hispanic;happy
FastFoodWorker26.png;;;;
FastFoodWorker27.png;24.0;Man;asian;happy
FastFoodWorker28.png;22.0;Man;middle eastern;happy
FastFoodWorker29.png;28.0;Woman;latino hispanic;happy
FastFoodWorker30.png;20.0;Man;latino hispanic;happy
FastFoodWorker31.png;26.0;Woman;latino hispanic;happy
FastFoodWorker32.png;28.0;Woman;latino hispanic;happy
FastFoodWorker33.png;28.0;Woman;asian;happy
FastFoodWorker34.png;31.0;Man;middle eastern;happy
FastFoodWorker35.png;29.0;Man;white;neutral
FastFoodWorker36.png;25.0;Woman;latino hispanic;happy
FastFoodWorker37.png;34.0;Woman;asian;happy
FastFoodWorker38.png;29.0;Woman;latino hispanic;happy
FastFoodWorker39.png;30.0;Woman;white;happy
FastFoodWorker40.png;23.0;Man;black;happy
FastFoodWorker41.png;31.0;Man;black;happy
FastFoodWorker42.png;32.0;Man;black;happy
FastFoodWorker43.png;24.0;Woman;latino hispanic;happy
FastFoodWorker44.png;25.0;Man;black;happy
FastFoodWorker45.png;21.0;Woman;white;happy
FastFoodWorker46.png;28.0;Woman;latino hispanic;happy
FastFoodWorker47.png;28.0;Woman;latino hispanic;happy
FastFoodWorker48.png;30.0;Woman;white;happy
FastFoodWorker49.png;26.0;Man;middle eastern;happy
FastFoodWorker50.png;26.0;Woman;asian;happy
FastFoodWorker51.png;23.0;Woman;latino hispanic;happy
FastFoodWorker52.png;25.0;Man;white;happy
FastFoodWorker53.png;29.0;Woman;middle eastern;happy
FastFoodWorker54.png;21.0;Man;middle eastern;happy
FastFoodWorker55.png;23.0;Woman;latino hispanic;happy
FastFoodWorker56.png;26.0;Man;black;happy
FastFoodWorker57.png;26.0;Man;latino hispanic;happy
FastFoodWorker58.png;23.0;Woman;middle eastern;happy
FastFoodWorker59.png;23.0;Man;asian;neutral
FastFoodWorker60.png;29.0;Woman;latino hispanic;happy
FastFoodWorker61.png;24.0;Man;latino hispanic;fear
FastFoodWorker62.png;24.0;Man;latino hispanic;happy
FastFoodWorker63.png;24.0;Man;latino hispanic;happy
FastFoodWorker64.png;20.0;Man;asian;happy
FastFoodWorker65.png;19.0;Man;middle eastern;happy
FastFoodWorker66.png;30.0;Woman;white;happy
FastFoodWorker67.png;31.0;Woman;asian;happy
FastFoodWorker68.png;28.0;Woman;white;happy
FastFoodWorker69.png;23.0;Woman;middle eastern;happy
FastFoodWorker70.png;25.0;Man;latino hispanic;happy
FastFoodWorker71.png;28.0;Woman;middle eastern;happy
FastFoodWorker72.png;24.0;Man;latino hispanic;happy
FastFoodWorker73.png;23.0;Man;middle eastern;happy
FastFoodWorker74.png;22.0;Man;latino hispanic;happy
FastFoodWorker75.png;;;;
FastFoodWorker76.png;24.0;Man;latino hispanic;happy
FastFoodWorker77.png;29.0;Man;middle eastern;surprise
FastFoodWorker78.png;23.0;Man;middle eastern;happy
FastFoodWorker79.png;26.0;Man;latino hispanic;happy
FastFoodWorker80.png;30.0;Woman;white;happy
FastFoodWorker81.png;30.0;Man;middle eastern;happy
FastFoodWorker82.png;23.0;Man;latino hispanic;happy
FastFoodWorker83.png;23.0;Man;middle eastern;happy
FastFoodWorker84.png;22.0;Man;latino hispanic;neutral
FastFoodWorker85.png;23.0;Woman;white;neutral
FastFoodWorker86.png;29.0;Woman;asian;happy
FastFoodWorker87.png;27.0;Man;asian;happy
FastFoodWorker88.png;23.0;Man;latino hispanic;happy
FastFoodWorker89.png;25.0;Man;black;happy
FastFoodWorker90.png;30.0;Woman;latino hispanic;neutral
FastFoodWorker91.png;23.0;Man;middle eastern;happy
FastFoodWorker92.png;26.0;Man;asian;happy
FastFoodWorker93.png;25.0;Man;black;sad
FastFoodWorker94.png;29.0;Man;indian;happy
FastFoodWorker95.png;21.0;Man;middle eastern;happy
FastFoodWorker96.png;26.0;Man;latino hispanic;happy
FastFoodWorker97.png;29.0;Man;latino hispanic;happy
FastFoodWorker98.png;27.0;Man;latino hispanic;happy
FastFoodWorker99.png;32.0;Man;middle eastern;happy
FastFoodWorker100.png;24.0;Man;latino hispanic;happy
