image;age;gender;dominant_race;dominant_emotion
FastFoodWorker1.png;22.0;Man;middle eastern;happy
FastFoodWorker2.png;23.0;Woman;white;neutral
FastFoodWorker3.png;31.0;Woman;asian;happy
FastFoodWorker4.png;28.0;Woman;white;happy
FastFoodWorker5.png;26.0;Man;latino hispanic;happy
FastFoodWorker6.png;29.0;Man;latino hispanic;happy
FastFoodWorker7.png;23.0;Woman;latino hispanic;happy
FastFoodWorker8.png;21.0;Woman;white;happy
FastFoodWorker9.png;31.0;Man;black;happy
FastFoodWorker10.png;26.0;Woman;asian;happy
FastFoodWorker11.png;26.0;Man;latino hispanic;happy
FastFoodWorker12.png;26.0;Man;latino hispanic;happy
FastFoodWorker13.png;31.0;Woman;white;happy
FastFoodWorker14.png;29.0;Woman;latino hispanic;happy
FastFoodWorker15.png;30.0;Woman;white;happy
FastFoodWorker16.png;26.0;Woman;white;happy
FastFoodWorker17.png;22.0;Man;latino hispanic;happy
FastFoodWorker18.png;23.0;Woman;middle eastern;happy
FastFoodWorker19.png;23.0;Man;middle eastern;happy
FastFoodWorker20.png;;;;
FastFoodWorker21.png;26.0;Man;black;happy
FastFoodWorker22.png;28.0;Woman;latino hispanic;happy
FastFoodWorker23.png;31.0;Man;white;happy
FastFoodWorker24.png;30.0;Woman;white;happy
FastFoodWorker25.png;22.0;Man;latino hispanic;neutral
FastFoodWorker26.png;21.0;Woman;latino hispanic;happy
FastFoodWorker27.png;32.0;Man;black;happy
FastFoodWorker28.png;20.0;Man;asian;happy
FastFoodWorker29.png;26.0;Man;black;happy
FastFoodWorker30.png;23.0;Woman;middle eastern;happy
FastFoodWorker31.png;23.0;Woman;latino hispanic;happy
FastFoodWorker32.png;21.0;Man;middle eastern;happy
FastFoodWorker33.png;29.0;Woman;latino hispanic;happy
FastFoodWorker34.png;23.0;Man;latino hispanic;happy
FastFoodWorker35.png;31.0;Woman;middle eastern;happy
FastFoodWorker36.png;26.0;Man;middle eastern;happy
FastFoodWorker37.png;25.0;Man;white;happy
FastFoodWorker38.png;29.0;Woman;latino hispanic;happy
FastFoodWorker39.png;30.0;Man;middle eastern;happy
FastFoodWorker40.png;24.0;Man;latino hispanic;happy
FastFoodWorker41.png;25.0;Woman;latino hispanic;happy
FastFoodWorker42.png;23.0;Man;latino hispanic;happy
FastFoodWorker43.png;25.0;Man;latino hispanic;happy
FastFoodWorker44.png;28.0;Woman;middle eastern;happy
FastFoodWorker45.png;26.0;Woman;white;happy
FastFoodWorker46.png;29.0;Man;white;neutral
FastFoodWorker47.png;20.0;Man;latino hispanic;happy
FastFoodWorker48.png;28.0;Woman;latino hispanic;happy
FastFoodWorker49.png;30.0;Woman;white;happy
FastFoodWorker50.png;22.0;Man;latino hispanic;happy
FastFoodWorker51.png;29.0;Woman;asian;happy
FastFoodWorker52.png;29.0;Man;latino hispanic;happy
FastFoodWorker53.png;28.0;Woman;latino hispanic;happy
FastFoodWorker54.png;29.0;Man;middle eastern;surprise
FastFoodWorker55.png;19.0;Man;middle eastern;happy
FastFoodWorker56.png;27.0;Man;asian;happy
FastFoodWorker57.png;25.0;Man;black;happy
FastFoodWorker58.png;23.0;Man;latino hispanic;neutral
FastFoodWorker59.png;23.0;Man;black;happy
FastFoodWorker60.png;29.0;Woman;middle eastern;happy
FastFoodWorker61.png;27.0;Man;latino hispanic;happy
FastFoodWorker62.png;31.0;Man;middle eastern;happy
FastFoodWorker63.png;24.0;Man;asian;happy
FastFoodWorker64.png;24.0;Woman;latino hispanic;happy
FastFoodWorker65.png;25.0;Man;black;happy
FastFoodWorker66.png;30.0;Woman;latino hispanic;neutral
FastFoodWorker67.png;21.0;Man;latino hispanic;happy
FastFoodWorker68.png;28.0;Woman;latino hispanic;happy
FastFoodWorker69.png;;;;
FastFoodWorker70.png;28.0;Woman;white;happy
FastFoodWorker71.png;27.0;Woman;middle eastern;happy
FastFoodWorker72.png;25.0;Man;black;sad
FastFoodWorker73.png;23.0;Man;latino hispanic;happy
FastFoodWorker74.png;23.0;Man;middle eastern;happy
FastFoodWorker75.png;25.0;Man;middle eastern;happy
FastFoodWorker76.png;28.0;Woman;asian;happy
FastFoodWorker77.png;25.0;Man;latino hispanic;neutral
FastFoodWorker79.png;23.0;Man;middle eastern;happy
FastFoodWorker80.png;30.0;Woman;white;happy
FastFoodWorker81.png;29.0;Woman;latino hispanic;happy
FastFoodWorker82.png;23.0;Man;middle eastern;happy
FastFoodWorker83.png;34.0;Woman;asian;happy
FastFoodWorker84.png;24.0;Man;latino hispanic;happy
FastFoodWorker85.png;29.0;Woman;latino hispanic;happy
FastFoodWorker86.png;26.0;Woman;latino hispanic;happy
FastFoodWorker87.png;22.0;Man;latino hispanic;happy
FastFoodWorker88.png;29.0;Man;indian;happy
FastFoodWorker89.png;28.0;Woman;latino hispanic;happy
FastFoodWorker90.png;23.0;Woman;latino hispanic;happy
FastFoodWorker91.png;24.0;Man;latino hispanic;happy
FastFoodWorker92.png;29.0;Man;middle eastern;happy
FastFoodWorker93.png;21.0;Man;middle eastern;happy
FastFoodWorker94.png;26.0;Woman;white;happy
FastFoodWorker95.png;26.0;Woman;latino hispanic;happy
FastFoodWorker96.png;26.0;Man;asian;happy
FastFoodWorker97.png;24.0;Man;latino hispanic;happy
FastFoodWorker98.png;23.0;Man;asian;neutral
FastFoodWorker99.png;24.0;Man;latino hispanic;fear
FastFoodWorker100.png;24.0;Man;latino hispanic;happy
FastFoodWorker101.png;32.0;Man;middle eastern;happy
