image;age;gender;dominant_race;dominant_emotion
InteriorDesigner1.png;36.0;Woman;white;happy
InteriorDesigner2.png;;;;
InteriorDesigner3.png;33.0;Woman;white;happy
InteriorDesigner4.png;40.0;Man;white;neutral
InteriorDesigner5.png;34.0;Man;middle eastern;neutral
InteriorDesigner6.png;30.0;Man;white;neutral
InteriorDesigner7.png;43.0;Woman;white;happy
InteriorDesigner8.png;33.0;Man;white;neutral
InteriorDesigner9.png;34.0;Man;white;happy
InteriorDesigner10.png;34.0;Woman;white;happy
InteriorDesigner11.png;40.0;Man;middle eastern;neutral
InteriorDesigner12.png;33.0;Woman;white;neutral
InteriorDesigner13.png;37.0;Woman;white;neutral
InteriorDesigner14.png;33.0;Woman;white;neutral
InteriorDesigner15.png;41.0;Man;black;neutral
InteriorDesigner16.png;37.0;Man;white;happy
InteriorDesigner17.png;34.0;Man;white;happy
InteriorDesigner18.png;32.0;Woman;white;happy
InteriorDesigner19.png;29.0;Man;white;neutral
InteriorDesigner20.png;40.0;Man;middle eastern;happy
InteriorDesigner21.png;42.0;Man;white;neutral
InteriorDesigner22.png;29.0;Woman;white;happy
InteriorDesigner23.png;32.0;Woman;white;neutral
InteriorDesigner24.png;31.0;Man;white;sad
InteriorDesigner25.png;37.0;Woman;white;happy
InteriorDesigner26.png;32.0;Woman;white;neutral
InteriorDesigner27.png;;;;
InteriorDesigner28.png;34.0;Woman;white;neutral
InteriorDesigner29.png;31.0;Man;white;neutral
InteriorDesigner30.png;32.0;Woman;white;happy
InteriorDesigner31.png;27.0;Woman;white;happy
InteriorDesigner32.png;30.0;Woman;white;happy
InteriorDesigner33.png;38.0;Woman;white;happy
InteriorDesigner34.png;32.0;Woman;white;happy
InteriorDesigner35.png;31.0;Woman;white;happy
InteriorDesigner36.png;35.0;Woman;white;happy
InteriorDesigner37.png;31.0;Woman;white;happy
InteriorDesigner38.png;40.0;Man;middle eastern;neutral
InteriorDesigner39.png;35.0;Woman;white;happy
InteriorDesigner40.png;39.0;Woman;white;happy
InteriorDesigner41.png;41.0;Woman;white;happy
InteriorDesigner42.png;31.0;Woman;white;happy
InteriorDesigner43.png;32.0;Woman;white;happy
InteriorDesigner44.png;33.0;Man;white;neutral
InteriorDesigner45.png;35.0;Man;middle eastern;happy
InteriorDesigner46.png;30.0;Man;white;happy
InteriorDesigner47.png;30.0;Man;white;happy
InteriorDesigner48.png;47.0;Man;middle eastern;neutral
InteriorDesigner49.png;40.0;Woman;white;happy
InteriorDesigner50.png;34.0;Woman;white;happy
InteriorDesigner51.png;34.0;Woman;white;happy
InteriorDesigner52.png;36.0;Woman;white;happy
InteriorDesigner53.png;35.0;Man;white;happy
InteriorDesigner54.png;39.0;Woman;white;happy
InteriorDesigner55.png;46.0;Man;middle eastern;neutral
InteriorDesigner56.png;32.0;Man;white;happy
InteriorDesigner57.png;38.0;Man;middle eastern;happy
InteriorDesigner58.png;42.0;Woman;white;happy
InteriorDesigner59.png;45.0;Woman;white;happy
InteriorDesigner60.png;34.0;Woman;white;happy
InteriorDesigner61.png;31.0;Woman;white;happy
InteriorDesigner62.png;32.0;Woman;white;happy
InteriorDesigner63.png;32.0;Woman;white;happy
InteriorDesigner64.png;43.0;Woman;white;happy
InteriorDesigner65.png;35.0;Man;middle eastern;neutral
InteriorDesigner66.png;33.0;Woman;middle eastern;happy
InteriorDesigner67.png;43.0;Man;white;neutral
InteriorDesigner68.png;34.0;Woman;white;happy
InteriorDesigner69.png;33.0;Woman;white;neutral
InteriorDesigner70.png;35.0;Man;white;neutral
InteriorDesigner71.png;;;;
InteriorDesigner72.png;34.0;Man;white;happy
InteriorDesigner73.png;37.0;Woman;white;happy
InteriorDesigner74.png;;;;
InteriorDesigner75.png;33.0;Woman;white;neutral
InteriorDesigner76.png;33.0;Man;white;angry
InteriorDesigner77.png;40.0;Woman;white;happy
InteriorDesigner78.png;37.0;Woman;white;neutral
InteriorDesigner79.png;33.0;Woman;white;neutral
InteriorDesigner80.png;;;;
InteriorDesigner81.png;33.0;Woman;white;happy
InteriorDesigner82.png;32.0;Man;middle eastern;neutral
InteriorDesigner83.png;38.0;Woman;white;happy
InteriorDesigner84.png;34.0;Woman;white;happy
InteriorDesigner85.png;36.0;Man;middle eastern;happy
InteriorDesigner86.png;33.0;Woman;white;happy
InteriorDesigner87.png;36.0;Man;middle eastern;happy
InteriorDesigner88.png;32.0;Woman;white;happy
InteriorDesigner89.png;35.0;Woman;white;neutral
InteriorDesigner90.png;34.0;Woman;white;happy
InteriorDesigner91.png;33.0;Woman;white;neutral
InteriorDesigner92.png;43.0;Man;middle eastern;happy
InteriorDesigner93.png;32.0;Woman;white;happy
InteriorDesigner94.png;29.0;Man;white;neutral
InteriorDesigner95.png;33.0;Woman;white;happy
InteriorDesigner96.png;37.0;Woman;white;happy
InteriorDesigner97.png;35.0;Woman;white;happy
InteriorDesigner98.png;40.0;Man;white;neutral
InteriorDesigner99.png;33.0;Woman;white;happy
InteriorDesigner100.png;34.0;Woman;white;neutral
