image;age;gender;dominant_race;dominant_emotion
PersonalCareAide1.png;30.0;Woman;white;happy
PersonalCareAide2.png;32.0;Woman;black;happy
PersonalCareAide3.png;32.0;Man;middle eastern;happy
PersonalCareAide4.png;38.0;Woman;white;happy
PersonalCareAide5.png;45.0;Woman;black;neutral
PersonalCareAide6.png;31.0;Woman;black;happy
PersonalCareAide7.png;51.0;Woman;white;happy
PersonalCareAide8.png;32.0;Woman;latino hispanic;happy
PersonalCareAide9.png;31.0;Woman;middle eastern;happy
PersonalCareAide10.png;50.0;Woman;white;happy
PersonalCareAide11.png;34.0;Woman;white;happy
PersonalCareAide12.png;31.0;Woman;latino hispanic;happy
PersonalCareAide13.png;31.0;Woman;latino hispanic;happy
PersonalCareAide14.png;32.0;Woman;latino hispanic;happy
PersonalCareAide15.png;33.0;Woman;latino hispanic;happy
PersonalCareAide16.png;;;;
PersonalCareAide17.png;32.0;Woman;black;happy
PersonalCareAide18.png;33.0;Woman;white;happy
PersonalCareAide19.png;31.0;Woman;white;happy
PersonalCareAide20.png;30.0;Woman;black;happy
PersonalCareAide21.png;38.0;Woman;middle eastern;neutral
PersonalCareAide22.png;34.0;Man;black;happy
PersonalCareAide23.png;35.0;Woman;indian;happy
PersonalCareAide24.png;47.0;Woman;white;happy
PersonalCareAide25.png;25.0;Woman;middle eastern;happy
PersonalCareAide26.png;33.0;Woman;latino hispanic;happy
PersonalCareAide27.png;57.0;Woman;white;happy
PersonalCareAide28.png;30.0;Woman;white;happy
PersonalCareAide29.png;38.0;Woman;white;happy
PersonalCareAide30.png;47.0;Woman;white;happy
PersonalCareAide31.png;32.0;Woman;latino hispanic;happy
PersonalCareAide32.png;33.0;Woman;asian;happy
PersonalCareAide33.png;31.0;Woman;latino hispanic;happy
PersonalCareAide34.png;32.0;Woman;black;happy
PersonalCareAide35.png;33.0;Woman;white;happy
PersonalCareAide36.png;31.0;Woman;white;happy
PersonalCareAide37.png;34.0;Woman;white;happy
PersonalCareAide38.png;50.0;Woman;latino hispanic;happy
PersonalCareAide39.png;33.0;Woman;latino hispanic;happy
PersonalCareAide40.png;34.0;Woman;white;happy
PersonalCareAide41.png;51.0;Woman;latino hispanic;happy
PersonalCareAide42.png;31.0;Woman;black;happy
PersonalCareAide43.png;31.0;Woman;black;happy
PersonalCareAide44.png;25.0;Man;middle eastern;happy
PersonalCareAide45.png;33.0;Woman;black;neutral
PersonalCareAide46.png;32.0;Woman;middle eastern;neutral
PersonalCareAide47.png;29.0;Man;black;happy
PersonalCareAide48.png;35.0;Woman;black;sad
PersonalCareAide49.png;34.0;Woman;black;happy
PersonalCareAide50.png;31.0;Woman;white;happy
PersonalCareAide51.png;36.0;Man;black;happy
PersonalCareAide52.png;30.0;Woman;white;happy
PersonalCareAide53.png;35.0;Woman;asian;happy
PersonalCareAide54.png;32.0;Woman;latino hispanic;happy
PersonalCareAide55.png;31.0;Woman;latino hispanic;neutral
PersonalCareAide56.png;29.0;Woman;latino hispanic;happy
PersonalCareAide57.png;35.0;Woman;latino hispanic;happy
PersonalCareAide58.png;31.0;Woman;black;happy
PersonalCareAide59.png;31.0;Woman;white;happy
PersonalCareAide60.png;36.0;Woman;white;happy
PersonalCareAide61.png;30.0;Woman;white;surprise
PersonalCareAide62.png;50.0;Woman;black;neutral
PersonalCareAide63.png;32.0;Woman;black;happy
PersonalCareAide64.png;30.0;Woman;white;happy
PersonalCareAide65.png;31.0;Woman;middle eastern;angry
PersonalCareAide66.png;31.0;Woman;white;happy
PersonalCareAide67.png;31.0;Woman;latino hispanic;happy
PersonalCareAide68.png;30.0;Woman;black;happy
PersonalCareAide69.png;36.0;Woman;latino hispanic;angry
PersonalCareAide70.png;30.0;Woman;white;happy
PersonalCareAide71.png;;;;
PersonalCareAide72.png;30.0;Woman;white;happy
PersonalCareAide73.png;24.0;Man;middle eastern;happy
PersonalCareAide74.png;32.0;Woman;white;neutral
PersonalCareAide75.png;33.0;Woman;indian;happy
PersonalCareAide76.png;31.0;Woman;latino hispanic;happy
PersonalCareAide77.png;32.0;Woman;middle eastern;happy
PersonalCareAide78.png;34.0;Woman;white;happy
PersonalCareAide79.png;31.0;Woman;middle eastern;happy
PersonalCareAide80.png;32.0;Woman;black;happy
PersonalCareAide81.png;31.0;Woman;white;happy
PersonalCareAide82.png;38.0;Woman;latino hispanic;happy
PersonalCareAide83.png;31.0;Woman;middle eastern;happy
PersonalCareAide84.png;49.0;Woman;white;happy
PersonalCareAide85.png;33.0;Woman;latino hispanic;happy
PersonalCareAide86.png;33.0;Woman;black;happy
PersonalCareAide87.png;30.0;Woman;middle eastern;fear
PersonalCareAide88.png;32.0;Woman;black;happy
PersonalCareAide89.png;32.0;Woman;black;happy
PersonalCareAide90.png;38.0;Woman;white;happy
PersonalCareAide91.png;32.0;Woman;indian;happy
PersonalCareAide92.png;32.0;Woman;white;happy
PersonalCareAide93.png;32.0;Woman;white;happy
PersonalCareAide94.png;32.0;Woman;black;happy
PersonalCareAide95.png;34.0;Woman;white;neutral
PersonalCareAide96.png;34.0;Woman;white;neutral
PersonalCareAide97.png;37.0;Woman;middle eastern;neutral
PersonalCareAide98.png;37.0;Woman;black;happy
PersonalCareAide99.png;31.0;Woman;indian;happy
PersonalCareAide100.png;31.0;Woman;latino hispanic;happy
