image;age;gender;dominant_race;dominant_emotion
PersonalFinancialAdvisor1.png;26.0;Man;middle eastern;happy
PersonalFinancialAdvisor2.png;31.0;Man;middle eastern;happy
PersonalFinancialAdvisor3.png;34.0;Man;middle eastern;neutral
PersonalFinancialAdvisor4.png;32.0;Man;middle eastern;happy
PersonalFinancialAdvisor5.png;26.0;Man;white;angry
PersonalFinancialAdvisor6.png;30.0;Man;middle eastern;happy
PersonalFinancialAdvisor7.png;28.0;Man;middle eastern;neutral
PersonalFinancialAdvisor8.png;33.0;Man;asian;neutral
PersonalFinancialAdvisor9.png;26.0;Man;middle eastern;neutral
PersonalFinancialAdvisor10.png;33.0;Man;middle eastern;happy
PersonalFinancialAdvisor11.png;28.0;Man;middle eastern;happy
PersonalFinancialAdvisor12.png;28.0;Man;white;happy
PersonalFinancialAdvisor13.png;31.0;Man;indian;sad
PersonalFinancialAdvisor14.png;29.0;Man;white;happy
PersonalFinancialAdvisor15.png;32.0;Man;middle eastern;neutral
PersonalFinancialAdvisor16.png;30.0;Man;middle eastern;neutral
PersonalFinancialAdvisor17.png;28.0;Man;middle eastern;neutral
PersonalFinancialAdvisor18.png;29.0;Man;middle eastern;neutral
PersonalFinancialAdvisor19.png;28.0;Man;white;happy
PersonalFinancialAdvisor20.png;28.0;Man;middle eastern;happy
PersonalFinancialAdvisor21.png;29.0;Man;middle eastern;neutral
PersonalFinancialAdvisor22.png;34.0;Man;middle eastern;angry
PersonalFinancialAdvisor23.png;32.0;Man;middle eastern;neutral
PersonalFinancialAdvisor24.png;32.0;Man;middle eastern;happy
PersonalFinancialAdvisor25.png;35.0;Man;middle eastern;neutral
PersonalFinancialAdvisor26.png;26.0;Man;middle eastern;happy
PersonalFinancialAdvisor27.png;28.0;Man;white;happy
PersonalFinancialAdvisor28.png;34.0;Man;middle eastern;happy
PersonalFinancialAdvisor29.png;31.0;Man;middle eastern;neutral
PersonalFinancialAdvisor30.png;29.0;Man;middle eastern;happy
PersonalFinancialAdvisor31.png;23.0;Man;latino hispanic;happy
PersonalFinancialAdvisor32.png;31.0;Man;latino hispanic;neutral
PersonalFinancialAdvisor33.png;32.0;Man;middle eastern;happy
PersonalFinancialAdvisor34.png;29.0;Man;black;happy
PersonalFinancialAdvisor35.png;28.0;Man;middle eastern;angry
PersonalFinancialAdvisor36.png;35.0;Man;middle eastern;neutral
PersonalFinancialAdvisor37.png;;;;
PersonalFinancialAdvisor38.png;28.0;Man;white;happy
PersonalFinancialAdvisor39.png;28.0;Man;middle eastern;happy
PersonalFinancialAdvisor40.png;35.0;Man;white;happy
PersonalFinancialAdvisor41.png;35.0;Man;middle eastern;neutral
PersonalFinancialAdvisor42.png;30.0;Man;middle eastern;neutral
PersonalFinancialAdvisor43.png;32.0;Man;white;happy
PersonalFinancialAdvisor44.png;31.0;Man;middle eastern;angry
PersonalFinancialAdvisor45.png;41.0;Man;middle eastern;neutral
PersonalFinancialAdvisor46.png;33.0;Man;middle eastern;happy
PersonalFinancialAdvisor47.png;29.0;Man;middle eastern;happy
PersonalFinancialAdvisor48.png;33.0;Man;asian;happy
PersonalFinancialAdvisor49.png;32.0;Man;middle eastern;happy
PersonalFinancialAdvisor50.png;36.0;Man;middle eastern;happy
PersonalFinancialAdvisor51.png;39.0;Man;middle eastern;neutral
PersonalFinancialAdvisor52.png;32.0;Man;white;happy
PersonalFinancialAdvisor53.png;27.0;Man;middle eastern;happy
PersonalFinancialAdvisor54.png;28.0;Man;white;happy
PersonalFinancialAdvisor55.png;27.0;Man;middle eastern;happy
PersonalFinancialAdvisor56.png;27.0;Man;latino hispanic;neutral
PersonalFinancialAdvisor57.png;34.0;Man;white;happy
PersonalFinancialAdvisor58.png;29.0;Man;middle eastern;happy
PersonalFinancialAdvisor59.png;28.0;Man;middle eastern;neutral
PersonalFinancialAdvisor60.png;36.0;Man;middle eastern;happy
PersonalFinancialAdvisor61.png;34.0;Man;middle eastern;happy
PersonalFinancialAdvisor62.png;27.0;Man;middle eastern;happy
PersonalFinancialAdvisor63.png;26.0;Man;middle eastern;happy
PersonalFinancialAdvisor64.png;29.0;Man;middle eastern;happy
PersonalFinancialAdvisor65.png;28.0;Man;middle eastern;happy
PersonalFinancialAdvisor66.png;32.0;Man;middle eastern;happy
PersonalFinancialAdvisor67.png;27.0;Man;middle eastern;happy
PersonalFinancialAdvisor68.png;30.0;Man;white;happy
PersonalFinancialAdvisor69.png;31.0;Man;latino hispanic;neutral
PersonalFinancialAdvisor70.png;29.0;Man;middle eastern;happy
PersonalFinancialAdvisor71.png;31.0;Man;middle eastern;neutral
PersonalFinancialAdvisor72.png;27.0;Man;white;happy
PersonalFinancialAdvisor73.png;25.0;Man;middle eastern;happy
PersonalFinancialAdvisor74.png;32.0;Man;middle eastern;happy
PersonalFinancialAdvisor75.png;33.0;Man;middle eastern;happy
PersonalFinancialAdvisor76.png;35.0;Man;white;happy
PersonalFinancialAdvisor77.png;33.0;Man;white;sad
PersonalFinancialAdvisor78.png;35.0;Man;latino hispanic;happy
PersonalFinancialAdvisor79.png;26.0;Man;white;happy
PersonalFinancialAdvisor80.png;26.0;Man;middle eastern;happy
PersonalFinancialAdvisor81.png;26.0;Man;middle eastern;happy
PersonalFinancialAdvisor82.png;28.0;Man;middle eastern;happy
PersonalFinancialAdvisor83.png;33.0;Man;middle eastern;happy
PersonalFinancialAdvisor84.png;32.0;Man;middle eastern;neutral
PersonalFinancialAdvisor85.png;;;;
PersonalFinancialAdvisor86.png;31.0;Man;white;happy
PersonalFinancialAdvisor87.png;30.0;Man;middle eastern;neutral
PersonalFinancialAdvisor88.png;26.0;Man;middle eastern;happy
PersonalFinancialAdvisor89.png;26.0;Man;latino hispanic;neutral
PersonalFinancialAdvisor90.png;34.0;Man;middle eastern;happy
PersonalFinancialAdvisor91.png;32.0;Man;middle eastern;happy
PersonalFinancialAdvisor92.png;30.0;Man;white;happy
PersonalFinancialAdvisor93.png;28.0;Man;white;happy
PersonalFinancialAdvisor94.png;29.0;Man;latino hispanic;neutral
PersonalFinancialAdvisor95.png;29.0;Man;middle eastern;happy
PersonalFinancialAdvisor96.png;33.0;Man;middle eastern;neutral
PersonalFinancialAdvisor97.png;33.0;Man;white;happy
PersonalFinancialAdvisor98.png;27.0;Man;white;happy
PersonalFinancialAdvisor99.png;32.0;Man;middle eastern;happy
PersonalFinancialAdvisor100.png;29.0;Man;middle eastern;happy
