image;age;gender;dominant_race;dominant_emotion
SchoolBusDriver1.png;31.0;Man;black;neutral
SchoolBusDriver2.png;42.0;Man;latino hispanic;neutral
SchoolBusDriver3.png;34.0;Man;black;angry
SchoolBusDriver4.png;43.0;Man;black;neutral
SchoolBusDriver5.png;31.0;Man;black;neutral
SchoolBusDriver6.png;25.0;Man;white;sad
SchoolBusDriver7.png;49.0;Man;black;happy
SchoolBusDriver8.png;29.0;Man;latino hispanic;neutral
SchoolBusDriver9.png;39.0;Man;middle eastern;happy
SchoolBusDriver10.png;32.0;Man;black;happy
SchoolBusDriver11.png;39.0;Man;black;neutral
SchoolBusDriver12.png;33.0;Man;black;neutral
SchoolBusDriver13.png;36.0;Man;latino hispanic;happy
SchoolBusDriver14.png;42.0;Man;black;angry
SchoolBusDriver15.png;35.0;Man;black;neutral
SchoolBusDriver16.png;43.0;Man;white;neutral
SchoolBusDriver17.png;30.0;Man;white;neutral
SchoolBusDriver18.png;43.0;Man;middle eastern;angry
SchoolBusDriver19.png;38.0;Man;black;happy
SchoolBusDriver20.png;41.0;Man;latino hispanic;neutral
SchoolBusDriver21.png;33.0;Man;black;happy
SchoolBusDriver22.png;39.0;Man;black;neutral
SchoolBusDriver23.png;45.0;Man;black;neutral
SchoolBusDriver24.png;44.0;Man;black;neutral
SchoolBusDriver25.png;37.0;Man;black;fear
SchoolBusDriver26.png;52.0;Man;white;angry
SchoolBusDriver27.png;31.0;Man;black;angry
SchoolBusDriver28.png;38.0;Man;black;angry
SchoolBusDriver29.png;30.0;Man;middle eastern;neutral
SchoolBusDriver30.png;41.0;Man;white;angry
SchoolBusDriver31.png;36.0;Man;black;happy
SchoolBusDriver32.png;32.0;Woman;indian;happy
SchoolBusDriver33.png;39.0;Man;black;happy
SchoolBusDriver34.png;34.0;Man;black;sad
SchoolBusDriver35.png;30.0;Man;black;happy
SchoolBusDriver36.png;46.0;Man;black;happy
SchoolBusDriver37.png;48.0;Man;black;neutral
SchoolBusDriver38.png;42.0;Man;white;sad
SchoolBusDriver39.png;47.0;Man;black;happy
SchoolBusDriver40.png;39.0;Man;black;neutral
SchoolBusDriver41.png;32.0;Man;black;happy
SchoolBusDriver42.png;32.0;Woman;white;happy
SchoolBusDriver43.png;30.0;Man;black;neutral
SchoolBusDriver44.png;48.0;Man;white;angry
SchoolBusDriver45.png;48.0;Man;latino hispanic;neutral
SchoolBusDriver46.png;41.0;Man;black;sad
SchoolBusDriver47.png;35.0;Man;black;neutral
SchoolBusDriver48.png;49.0;Man;white;angry
SchoolBusDriver49.png;44.0;Man;black;happy
SchoolBusDriver50.png;50.0;Man;black;angry
SchoolBusDriver51.png;36.0;Man;white;happy
SchoolBusDriver52.png;26.0;Man;black;sad
SchoolBusDriver53.png;31.0;Man;black;angry
SchoolBusDriver54.png;;;;
SchoolBusDriver55.png;50.0;Man;indian;sad
SchoolBusDriver56.png;41.0;Man;black;happy
SchoolBusDriver57.png;45.0;Man;black;neutral
SchoolBusDriver58.png;;;;
SchoolBusDriver59.png;38.0;Man;white;neutral
SchoolBusDriver60.png;41.0;Man;black;sad
SchoolBusDriver61.png;33.0;Man;black;neutral
SchoolBusDriver62.png;31.0;Man;middle eastern;angry
SchoolBusDriver63.png;46.0;Man;black;angry
SchoolBusDriver64.png;37.0;Man;latino hispanic;angry
SchoolBusDriver65.png;44.0;Man;black;happy
SchoolBusDriver66.png;40.0;Man;black;neutral
SchoolBusDriver67.png;47.0;Man;middle eastern;happy
SchoolBusDriver68.png;41.0;Woman;black;sad
SchoolBusDriver69.png;36.0;Man;white;neutral
SchoolBusDriver70.png;36.0;Man;black;angry
SchoolBusDriver71.png;30.0;Man;black;sad
SchoolBusDriver72.png;33.0;Man;latino hispanic;fear
SchoolBusDriver73.png;48.0;Man;white;angry
SchoolBusDriver74.png;51.0;Man;middle eastern;angry
SchoolBusDriver75.png;28.0;Man;white;sad
SchoolBusDriver76.png;36.0;Man;black;neutral
SchoolBusDriver77.png;42.0;Man;black;neutral
SchoolBusDriver78.png;35.0;Man;black;neutral
SchoolBusDriver79.png;42.0;Man;white;sad
SchoolBusDriver80.png;36.0;Man;black;fear
SchoolBusDriver81.png;25.0;Man;black;sad
SchoolBusDriver82.png;33.0;Man;indian;happy
SchoolBusDriver83.png;42.0;Man;black;neutral
SchoolBusDriver84.png;34.0;Man;black;happy
SchoolBusDriver85.png;43.0;Man;black;neutral
SchoolBusDriver86.png;32.0;Man;latino hispanic;neutral
SchoolBusDriver87.png;31.0;Man;white;neutral
SchoolBusDriver88.png;41.0;Man;black;neutral
SchoolBusDriver89.png;48.0;Man;latino hispanic;angry
SchoolBusDriver90.png;37.0;Man;black;neutral
SchoolBusDriver91.png;28.0;Man;black;sad
SchoolBusDriver92.png;39.0;Man;black;sad
SchoolBusDriver93.png;32.0;Man;white;neutral
SchoolBusDriver94.png;37.0;Man;black;happy
SchoolBusDriver95.png;32.0;Man;black;happy
SchoolBusDriver96.png;34.0;Man;black;happy
SchoolBusDriver97.png;33.0;Woman;black;surprise
SchoolBusDriver98.png;36.0;Man;black;happy
SchoolBusDriver99.png;34.0;Man;white;neutral
SchoolBusDriver100.png;30.0;Man;middle eastern;neutral
