image;age;gender;dominant_race;dominant_emotion
SupervisorOfReepairers1.png;34.0;Man;middle eastern;happy
SupervisorOfReepairers2.png;32.0;Man;middle eastern;happy
SupervisorOfReepairers3.png;26.0;Man;middle eastern;happy
SupervisorOfReepairers4.png;31.0;Man;white;happy
SupervisorOfReepairers5.png;33.0;Man;middle eastern;neutral
SupervisorOfReepairers6.png;35.0;Man;white;happy
SupervisorOfReepairers7.png;33.0;Man;latino hispanic;neutral
SupervisorOfReepairers8.png;34.0;Man;middle eastern;neutral
SupervisorOfReepairers9.png;34.0;Man;white;fear
SupervisorOfReepairers10.png;32.0;Man;white;happy
SupervisorOfReepairers11.png;35.0;Man;middle eastern;happy
SupervisorOfReepairers12.png;33.0;Man;middle eastern;happy
SupervisorOfReepairers13.png;32.0;Man;middle eastern;happy
SupervisorOfReepairers14.png;41.0;Man;white;neutral
SupervisorOfReepairers15.png;33.0;Man;middle eastern;happy
SupervisorOfReepairers16.png;33.0;Man;middle eastern;happy
SupervisorOfReepairers17.png;36.0;Man;middle eastern;happy
SupervisorOfReepairers18.png;34.0;Man;middle eastern;happy
SupervisorOfReepairers19.png;33.0;Man;middle eastern;happy
SupervisorOfReepairers20.png;29.0;Man;white;happy
SupervisorOfReepairers21.png;44.0;Man;middle eastern;happy
SupervisorOfReepairers22.png;36.0;Man;white;happy
SupervisorOfReepairers23.png;25.0;Man;white;neutral
SupervisorOfReepairers24.png;32.0;Man;white;happy
SupervisorOfReepairers25.png;28.0;Man;middle eastern;happy
SupervisorOfReepairers26.png;29.0;Man;middle eastern;neutral
SupervisorOfReepairers27.png;29.0;Man;white;neutral
SupervisorOfReepairers28.png;29.0;Man;middle eastern;happy
SupervisorOfReepairers29.png;33.0;Man;middle eastern;happy
SupervisorOfReepairers30.png;22.0;Man;white;happy
SupervisorOfReepairers31.png;35.0;Man;middle eastern;neutral
SupervisorOfReepairers32.png;37.0;Man;white;happy
SupervisorOfReepairers33.png;31.0;Man;middle eastern;happy
SupervisorOfReepairers34.png;36.0;Man;white;happy
SupervisorOfReepairers35.png;34.0;Man;white;neutral
SupervisorOfReepairers36.png;35.0;Man;white;happy
SupervisorOfReepairers37.png;35.0;Man;white;happy
SupervisorOfReepairers38.png;32.0;Man;white;happy
SupervisorOfReepairers39.png;33.0;Man;white;neutral
SupervisorOfReepairers40.png;33.0;Man;white;neutral
SupervisorOfReepairers41.png;30.0;Man;middle eastern;happy
SupervisorOfReepairers42.png;35.0;Man;middle eastern;neutral
SupervisorOfReepairers43.png;29.0;Man;middle eastern;happy
SupervisorOfReepairers44.png;35.0;Man;white;angry
SupervisorOfReepairers45.png;35.0;Man;white;happy
SupervisorOfReepairers46.png;32.0;Man;middle eastern;happy
SupervisorOfReepairers47.png;31.0;Man;white;neutral
SupervisorOfReepairers48.png;31.0;Man;middle eastern;happy
SupervisorOfReepairers49.png;29.0;Man;middle eastern;happy
SupervisorOfReepairers50.png;32.0;Man;middle eastern;neutral
SupervisorOfReepairers51.png;32.0;Man;middle eastern;happy
SupervisorOfReepairers52.png;31.0;Man;middle eastern;happy
SupervisorOfReepairers53.png;33.0;Man;white;neutral
SupervisorOfReepairers54.png;33.0;Man;middle eastern;neutral
SupervisorOfReepairers55.png;;;;
SupervisorOfReepairers56.png;37.0;Man;white;fear
SupervisorOfReepairers57.png;25.0;Man;white;angry
SupervisorOfReepairers58.png;31.0;Man;white;happy
SupervisorOfReepairers59.png;29.0;Man;middle eastern;happy
SupervisorOfReepairers60.png;33.0;Man;middle eastern;happy
SupervisorOfReepairers61.png;;;;
SupervisorOfReepairers62.png;32.0;Man;middle eastern;happy
SupervisorOfReepairers63.png;32.0;Man;white;happy
SupervisorOfReepairers64.png;48.0;Man;middle eastern;happy
SupervisorOfReepairers65.png;42.0;Man;latino hispanic;neutral
SupervisorOfReepairers66.png;30.0;Man;middle eastern;neutral
SupervisorOfReepairers67.png;31.0;Man;white;neutral
SupervisorOfReepairers68.png;37.0;Man;middle eastern;neutral
