image;age;gender;dominant_race;dominant_emotion
Surgeon1.png;34.0;Man;middle eastern;neutral
Surgeon2.png;;;;
Surgeon3.png;37.0;Man;middle eastern;happy
Surgeon4.png;23.0;Man;white;sad
Surgeon5.png;34.0;Man;middle eastern;neutral
Surgeon6.png;49.0;Man;middle eastern;angry
Surgeon7.png;29.0;Man;middle eastern;happy
Surgeon8.png;35.0;Man;middle eastern;neutral
Surgeon9.png;30.0;Woman;white;neutral
Surgeon10.png;27.0;Man;middle eastern;happy
Surgeon11.png;;;;
Surgeon12.png;37.0;Man;middle eastern;neutral
Surgeon13.png;35.0;Man;middle eastern;angry
Surgeon14.png;39.0;Man;middle eastern;neutral
Surgeon15.png;34.0;Man;middle eastern;angry
Surgeon16.png;25.0;Man;middle eastern;sad
Surgeon17.png;33.0;Man;middle eastern;neutral
Surgeon18.png;24.0;Man;middle eastern;fear
Surgeon19.png;25.0;Man;middle eastern;neutral
Surgeon20.png;33.0;Man;middle eastern;neutral
Surgeon21.png;25.0;Man;middle eastern;happy
Surgeon22.png;;;;
Surgeon23.png;33.0;Woman;white;happy
Surgeon24.png;29.0;Man;white;neutral
Surgeon25.png;34.0;Man;middle eastern;sad
Surgeon26.png;21.0;Man;white;happy
Surgeon27.png;36.0;Man;middle eastern;happy
Surgeon28.png;35.0;Man;middle eastern;neutral
Surgeon29.png;27.0;Man;white;sad
Surgeon30.png;36.0;Man;middle eastern;neutral
Surgeon31.png;30.0;Man;middle eastern;neutral
Surgeon32.png;32.0;Man;middle eastern;neutral
Surgeon33.png;26.0;Man;middle eastern;sad
Surgeon34.png;30.0;Man;white;sad
Surgeon35.png;35.0;Man;white;neutral
Surgeon36.png;44.0;Man;middle eastern;neutral
Surgeon37.png;50.0;Man;white;sad
Surgeon38.png;34.0;Man;middle eastern;happy
Surgeon39.png;25.0;Man;middle eastern;angry
Surgeon40.png;43.0;Man;middle eastern;neutral
Surgeon41.png;27.0;Man;middle eastern;neutral
Surgeon42.png;25.0;Man;middle eastern;happy
Surgeon43.png;29.0;Man;middle eastern;neutral
Surgeon44.png;31.0;Woman;middle eastern;happy
Surgeon45.png;30.0;Man;white;happy
Surgeon46.png;24.0;Man;middle eastern;neutral
Surgeon47.png;;;;
Surgeon48.png;50.0;Man;middle eastern;neutral
Surgeon49.png;41.0;Man;middle eastern;neutral
Surgeon50.png;22.0;Man;middle eastern;neutral
Surgeon51.png;28.0;Man;latino hispanic;neutral
Surgeon52.png;26.0;Man;middle eastern;fear
Surgeon53.png;35.0;Man;middle eastern;neutral
Surgeon54.png;38.0;Man;middle eastern;neutral
Surgeon55.png;43.0;Man;middle eastern;neutral
Surgeon56.png;32.0;Man;white;sad
Surgeon57.png;41.0;Man;middle eastern;neutral
Surgeon58.png;22.0;Man;white;neutral
Surgeon59.png;;;;
Surgeon60.png;30.0;Man;asian;neutral
Surgeon61.png;33.0;Man;middle eastern;happy
Surgeon62.png;33.0;Man;middle eastern;neutral
Surgeon63.png;35.0;Man;white;fear
Surgeon64.png;29.0;Man;middle eastern;happy
Surgeon65.png;37.0;Man;middle eastern;neutral
Surgeon66.png;24.0;Man;middle eastern;sad
Surgeon67.png;34.0;Man;middle eastern;neutral
Surgeon68.png;;;;
Surgeon69.png;32.0;Woman;white;happy
Surgeon70.png;35.0;Man;middle eastern;angry
Surgeon71.png;33.0;Woman;white;happy
Surgeon72.png;45.0;Man;middle eastern;angry
Surgeon73.png;34.0;Man;middle eastern;neutral
Surgeon74.png;;;;
Surgeon75.png;37.0;Man;middle eastern;happy
Surgeon76.png;31.0;Man;white;neutral
Surgeon77.png;41.0;Man;middle eastern;neutral
Surgeon78.png;40.0;Man;middle eastern;happy
Surgeon79.png;39.0;Man;white;fear
Surgeon80.png;26.0;Man;middle eastern;neutral
Surgeon81.png;30.0;Man;white;sad
Surgeon82.png;35.0;Man;middle eastern;happy
Surgeon83.png;44.0;Man;middle eastern;happy
Surgeon84.png;29.0;Man;middle eastern;happy
Surgeon85.png;43.0;Man;middle eastern;surprise
Surgeon86.png;34.0;Man;middle eastern;happy
Surgeon87.png;40.0;Man;middle eastern;neutral
Surgeon88.png;37.0;Man;middle eastern;fear
Surgeon89.png;23.0;Man;white;happy
Surgeon90.png;;;;
Surgeon91.png;35.0;Man;white;neutral
Surgeon92.png;28.0;Man;white;happy
Surgeon93.png;34.0;Man;white;happy
Surgeon94.png;;;;
Surgeon95.png;22.0;Woman;white;sad
Surgeon96.png;;;;
Surgeon97.png;32.0;Man;middle eastern;angry
Surgeon98.png;35.0;Man;middle eastern;neutral
Surgeon99.png;29.0;Man;middle eastern;happy
Surgeon100.png;33.0;Man;middle eastern;happy
Surgeon101.png;49.0;Man;middle eastern;angry
Surgeon102.png;21.0;Man;middle eastern;happy
Surgeon103.png;33.0;Man;white;happy
Surgeon104.png;38.0;Man;middle eastern;neutral
Surgeon105.png;22.0;Man;asian;angry
Surgeon106.png;39.0;Man;middle eastern;neutral
Surgeon107.png;41.0;Man;white;angry
Surgeon108.png;32.0;Man;middle eastern;neutral
